"","year","in.likud","in.labor","in.p","in.net","out.likud","out.labor","out.p","out.net","aff.likud","aff.labor","aff.pol","aff.pol.net","wag1","wag1a","wag2","wag2a","rel","rela"
"1","1992",7.31864406779661,6.63305322128852,6.94325153374233,NA,4.69830508474576,4.36619718309859,4.51692307692308,NA,2.62033898305085,2.26685603818992,2.42632845681925,NA,0,0,0,0,0,0
"2","1996",8.495,8.64748201438849,8.57282741738066,8.25384615384615,3.34430379746835,3.44258373205742,3.39483394833948,3.33173076923077,5.15069620253164,5.20489828233107,5.17799346904118,4.92211538461539,0,0,0,0,0,0
"3","1999",8.80434782608696,8.69740634005764,8.74478330658106,8.76363636363636,3.8731884057971,2.94508670520231,3.35691318327974,2.94705882352941,4.93115942028986,5.75231963485532,5.38787012330132,5.81657754010695,0,0,0,0,0,0
"4","2001",8.07837837837838,7.24166666666667,7.74918032786885,7.60810810810811,3.3800539083558,3.43333333333333,3.40098199672668,3.49583333333333,4.69832447002258,3.80833333333333,4.34819833114218,4.11227477477478,0,0,0,0,0,0
"5","2003",7.88785046728972,7.54736842105263,7.76125244618395,NA,2.84423676012461,3.18947368421053,2.97260273972603,NA,5.04361370716511,4.35789473684211,4.78864970645793,NA,0,0,0,0,0,0
"6","2006",7.47826086956522,8.39805825242718,8.11409395973154,7.16483516483517,3.60773480662983,3.51338199513382,3.54222972972973,3.29297820823245,3.87052606293538,4.88467625729336,4.57186423000181,3.87185695660272,0,0,0,0,0,0
"7","2009",8.09547738693467,7.60115606936416,7.86559139784946,6.22058823529412,4.49222797927461,4.26162790697674,4.38356164383562,4.8974358974359,3.60324940766006,3.33952816238742,3.48202975401385,1.32315233785822,0,0,0,0,0,0
"8","2013",7.99375,7.33333333333333,7.87244897959184,8.29518072289157,3.28666666666667,3.69444444444444,3.36559139784946,4.14285714285714,4.70708333333333,3.63888888888889,4.50685758174237,4.15232358003442,0,0,0,0,0,0
"9","2015",8.38461538461539,7.86666666666667,8.13963963963964,8.5,2.98198198198198,2.44230769230769,2.72093023255814,2.52336448598131,5.4026334026334,5.42435897435897,5.4187094070815,5.97663551401869,0,0,0,0,0,0
"10","2019",8.49333333333333,7.86184210526316,8.17549668874172,8.73539518900344,3.26865671641791,3.18064516129032,3.22145328719723,2.66559485530547,5.22467661691542,4.68119694397283,4.95404340154449,6.06980033369797,0,0,0,0,0,0
"11","2020",8.34682080924856,7.80597014925373,8.05614973262032,8.67052023121387,3.09090909090909,3.17326732673267,3.13623978201635,2.9009900990099,5.25591171833946,4.63270282252106,4.91990995060397,5.76953013220397,0,0,0,0,0,0
"12","2021",8.64925373134328,7.83783783783784,8.55081967213115,8.88475836431227,2.5,2.775,2.53819444444444,2.54761904761905,6.14925373134328,5.06283783783784,6.0126252276867,6.33713931669322,0,0,0,0,0,0
"13","2022",8.5495867768595,8.41312741312741,8.47904191616766,8.79668049792531,2.31623931623932,2.13671875,2.22244897959184,1.32692307692308,6.23334746062019,6.27640866312741,6.25659293657583,7.46975742100224,0,0,0,0,0,0
