"","Year","In-party: Right-wing","In-party: Left-wing","In-party","Out-party: Right-wing","Out-party: Left-wing","Out-party","AP: Right-wing","AP: Left-wing","AP: Two-parties","Wagner: Spread","Wagner: Spread (with arabs)","Wagner: Distance","Wagner: Distance (with arabs)","Reiljan","Reiljan (with arabs)"
"1","1992",7.31864406779661,6.63305322128852,6.94325153374233,4.69830508474576,4.36619718309859,4.51692307692308,2.62033898305085,2.26685603818992,2.42632845681925,0,0,0,0,0,0
"2","1996",8.495,8.64748201438849,8.57282741738066,3.34430379746835,3.44258373205742,3.39483394833948,5.15069620253164,5.20489828233107,5.17799346904118,0,0,0,0,0,0
"3","1999",8.80434782608696,8.69740634005764,8.74478330658106,3.8731884057971,2.94508670520231,3.35691318327974,4.93115942028986,5.75231963485532,5.38787012330132,0,0,0,0,0,0
"4","2001",8.07837837837838,7.24166666666667,7.74918032786885,3.3800539083558,3.43333333333333,3.40098199672668,4.69832447002258,3.80833333333333,4.34819833114218,0,0,0,0,0,0
"5","2003",7.88785046728972,7.54736842105263,7.76125244618395,2.84423676012461,3.18947368421053,2.97260273972603,5.04361370716511,4.35789473684211,4.78864970645793,2.3538660969325,0,4.05963484053939,0,3.46448890658997,0
"6","2006",7.47826086956522,8.39805825242718,8.11409395973154,3.60773480662983,3.51338199513382,3.54222972972973,3.87052606293538,4.88467625729336,4.57186423000181,2.24615396148941,0,3.68122288957856,0,3.89920239077397,0
"7","2009",8.09547738693467,7.60115606936416,7.86559139784946,4.49222797927461,4.26162790697674,4.38356164383562,3.60324940766006,3.33952816238742,3.48202975401385,2.05192223440116,0,3.2304100900087,0,2.75992698802604,0
"8","2013",7.99375,7.9344262295082,7.97737556561086,3.36477987421384,2.63333333333333,3.16438356164384,4.62897012578616,5.30109289617486,4.81299200396702,2.16521428196035,2.29844240768432,3.39067045319339,3.81916488702896,3.53972847633444,3.86853333402534
"9","2015",8.38461538461539,7.86666666666667,8.13963963963964,2.98198198198198,2.44230769230769,2.72093023255814,5.4026334026334,5.42435897435897,5.4187094070815,2.25332428913001,2.60720846727411,3.63259457413522,4.59674088690899,3.87328459099625,4.61055331842554
"10","2019",8.49333333333333,7.86184210526316,8.17549668874172,3.26865671641791,3.18064516129032,3.22145328719723,5.22467661691542,4.68119694397283,4.95404340154449,2.38018253848564,2.49043720633226,3.67800316688334,4.14673101589302,3.82756616373279,4.38011827428811
"11","2020",8.34682080924856,7.80597014925373,8.05614973262032,3.09090909090909,3.17326732673267,3.13623978201635,5.25591171833946,4.63270282252106,4.91990995060397,2.422042128921,2.77678640446102,3.67580384355577,4.68034461154739,4.333918234007,5.52331937052695
"12","2021",8.64925373134328,7.83783783783784,8.55081967213115,2.5,2.775,2.53819444444444,6.14925373134328,5.06283783783784,6.0126252276867,2.40538981736194,2.57879976645994,4.21699094820225,4.71178923118477,4.93802483511308,5.51656522925612
"13","2022",8.5495867768595,8.41312741312741,8.47904191616766,2.31623931623932,2.13671875,2.22244897959184,6.23334746062019,6.27640866312741,6.25659293657583,2.58813668281814,2.74838285760605,4.42655250020152,4.99949098516284,4.21268185703895,4.87049113158206
