"","a1","a6","a7","a8","a10","a11","a12","a13","a14","a15","a16","a17","a18","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a32","a33","a34","a35","a36","a37","a39","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a52","a53","a54","a55","a56","a57","a58","a59","a60","a61","a62","a63","a64","a65","a66","a67","a68","a69","a70","a71","a72","a73","a74","a75","a76","a77","a78","a79","a80","a81","a82","a83","a84","b6","b7","b8","b9","b10","b11","b12","b13","b14","b16","b17","b19","b20","b21","b23","b24","b26","b27","b28","b29","b30","b31","b32","b33","b35","b37","b38","b40","b41","b42","b44","b46","b47","b48","b51","b52","b55","b56","b64","b65","b66","b67","b68","b69","b70","b71","b72","b73","b74","b75","b76","b77","b79","b81","b83","b85"
"1",3501,2,1,1,2,3,3,2,1,2,2,2,0,2,NA,NA,4,4,2,3,3,3,1,NA,3,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,6,5,5,1,1,8,5,1,1,1,1,3,4,3,3,3,3,4,4,4,2,2,2,2,2,2,2,2,3,2,5,3,2,2,2,2,2,2,2,2,3,5,3,2,2,2,3,2,8,5,NA,1,2,11,1,75,2,1,NA,2,1,3,4,3,90,1,15,1,4,3,2,3,1,38,1,21,2,7,2,5,2,2,2,2,2,2,1,1,2,2,2,2,NA,NA,NA,NA
"2",3511,3,2,2,2,2,2,2,2,2,2,2,0,2,NA,NA,4,3,2,2,2,2,1,NA,3,4,3,3,3,33,2,NA,NA,NA,NA,NA,NA,4,5,1,1,4,10,3,1,1,2,1,5,4,4,4,4,4,4,2,2,4,3,3,3,3,4,4,3,2,4,2,2,2,2,2,2,2,4,2,3,5,5,2,3,3,3,2,23,2,NA,2,2,11,1,42,1,1,NA,2,3,1,4,3,95,1,13,2,4,3,3,NA,2,38,1,21,2,7,NA,1,1,1,1,1,2,2,1,1,2,2,1,1,NA,NA,NA,NA
"3",3521,1,2,1,2,2,2,3,1,2,2,2,0,2,NA,NA,4,2,3,3,3,3,1,25,2,4,4,3,4,33,2,NA,NA,NA,NA,NA,7,1,8,4,1,8,8,8,1,1,1,3,4,2,3,3,3,4,4,3,3,4,5,3,3,3,5,3,3,3,5,2,2,2,2,2,2,2,2,2,4,2,3,2,2,2,1,3,23,2,NA,2,4,21,1,65,2,1,NA,1,2,3,4,3,99,1,15,1,5,3,2,3,1,42,1,21,2,7,2,6,2,2,2,2,2,2,2,1,2,2,2,1,NA,NA,NA,NA
"4",3531,2,2,2,2,3,3,2,2,2,2,1,0,2,NA,NA,4,3,3,2,2,3,1,NA,3,4,3,2,4,33,2,NA,NA,NA,NA,NA,5,8,4,1,1,5,7,3,1,1,2,2,4,4,3,3,3,4,4,3,2,5,4,3,3,3,4,4,3,1,4,2,2,2,3,3,2,4,4,4,2,4,5,2,2,2,1,2,23,2,NA,2,2,11,1,58,1,1,NA,2,4,1,3,3,90,1,12,2,4,3,5,NA,2,38,1,21,2,7,NA,1,2,1,1,2,2,2,1,1,2,2,1,1,NA,NA,NA,NA
"5",3541,3,2,2,3,2,2,2,2,2,2,1,30,2,NA,NA,4,3,2,2,2,2,1,NA,3,4,3,2,4,33,3,NA,NA,NA,NA,NA,1,7,8,7,1,1,9,1,7,1,2,2,4,4,3,3,3,2,2,1,1,1,3,3,3,3,3,3,2,NA,5,3,1,3,3,3,1,1,4,4,2,3,5,2,2,1,1,2,2,2,NA,1,1,2,2,55,1,1,NA,2,4,1,3,3,89,1,15,1,3,4,2,3,1,38,1,21,2,7,NA,2,2,2,1,1,1,1,2,2,1,1,2,2,NA,NA,NA,NA
"6",3551,3,2,2,2,2,2,2,2,2,2,1,0,2,NA,NA,4,3,2,3,2,2,1,NA,2,4,3,3,4,33,3,NA,NA,NA,NA,NA,4,NA,6,NA,1,6,NA,7,NA,1,2,2,4,3,2,2,2,3,4,NA,NA,4,4,2,2,2,5,2,3,1,4,3,1,3,3,1,1,4,4,4,2,4,5,2,3,2,1,2,12,6,NA,1,2,99,1,44,1,1,NA,2,4,1,3,3,90,1,NA,1,3,4,4,3,1,38,1,21,2,7,NA,2,2,2,1,1,2,2,2,2,2,2,2,1,NA,NA,NA,NA
"7",3561,1,1,2,2,2,1,1,3,2,2,2,0,2,NA,NA,3,3,2,2,3,3,1,28,4,4,3,3,3,33,3,NA,NA,NA,NA,NA,4,5,5,1,1,4,10,6,1,1,1,3,1,4,3,3,4,4,4,3,1,3,4,3,3,4,4,4,1,1,5,3,4,1,1,1,1,1,1,3,4,1,5,1,3,1,2,3,23,1,NA,2,1,2,1,46,1,1,NA,NA,NA,NA,NA,3,92,1,10,NA,4,3,3,3,2,42,1,21,2,7,2,2,2,2,2,1,1,2,2,2,2,2,2,2,NA,NA,NA,NA
"8",3571,3,2,1,2,2,2,2,1,2,2,2,0,2,NA,NA,4,3,3,2,3,3,1,25,3,4,2,4,4,32,2,NA,NA,NA,NA,NA,NA,1,NA,1,1,5,7,1,1,1,2,2,1,3,4,4,4,3,4,3,4,4,5,3,3,4,4,4,2,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,3,1,2,3,9,2,NA,NA,2,11,1,44,2,1,NA,1,3,4,NA,3,90,1,12,NA,5,3,3,3,2,42,1,21,2,7,NA,5,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"9",3581,3,2,2,2,2,2,2,2,2,2,2,10,2,NA,NA,4,3,2,2,3,2,1,NA,3,4,3,3,4,NA,3,NA,NA,NA,NA,NA,6,4,4,1,1,7,5,5,1,1,2,2,1,4,3,3,2,4,4,2,2,6,4,3,3,3,3,3,4,2,5,3,2,2,3,3,2,4,4,2,2,5,5,3,3,1,3,2,1,2,NA,2,2,1,1,72,1,1,NA,3,4,2,1,3,93,1,14,2,5,3,2,3,1,38,1,21,2,7,NA,1,2,1,1,2,2,2,1,1,2,2,1,1,NA,NA,NA,NA
"10",3591,2,2,1,2,2,2,2,2,2,2,4,0,2,NA,NA,4,2,1,1,2,2,1,27,4,4,2,3,4,32,1,NA,NA,NA,NA,NA,2,7,5,2,1,1,7,3,1,1,2,1,4,3,4,4,2,4,4,1,NA,3,5,3,3,2,5,5,3,2,5,3,1,1,1,3,1,1,4,4,5,5,5,1,1,1,3,3,23,6,NA,1,1,12,1,47,1,1,NA,2,3,4,1,3,91,1,15,1,4,3,4,3,1,42,1,21,2,7,1,2,2,2,2,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA
