"","id1","card1","a6","a7","a8","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a31","a32","a33","a34","a35","a36","a37","a38","a39","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a52","a53","a54","a55","a56","a57","a58","a59","a60","a61","a62","a63","a64","a65","a66","a67","a68","a69","a70","a71","a72","a73","a74","a75","a76","a77","a78","a79","a80","a81","a82","a83","a84","a85","a86","a87","a88","a89","b6","b7","b10","b13","b16","b19","b22","b25","b28","b31","b33","b35","b37","b39","b41","b43","b45","b47","b50","b53","b56","b59","b60","b61","b62","b63","b65","b66","b68","b69","b70","b72","b73","b74","b76","b77","b79","b81","b82","b84","b85","b86","b87","b88","b89","b90","b91","b92","b93","b96","b98","b99","wave","jew"
"1",1,1,3,3,1,3,2,3,2,4,4,2,2,2,2,3,2,2,1,3,4,2,8,9,7,8,7,7,4,7,8,9,1,8,9,7,8,9,7,8,9,7,3,3,4,3,5,5,5,5,5,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,3,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,1,97,2,2,2,1,3,41,2,12,NA,NA,16,1,1,1,NA,6,2,NA,1,2,542,12,1,1,1,1
"2",2,1,4,4,2,3,4,4,1,4,4,NA,4,4,2,3,4,2,2,1,3,4,1,7,2,8,5,10,3,6,1,9,1,1,6,7,1,7,7,1,7,7,1,1,1,2,2,2,2,2,4,2,1,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,4,2,2,2,2,2,1,4,1,1,1,1,4,5,70,60,50,40,50,50,40,50,NA,NA,NA,NA,NA,NA,NA,NA,60,60,50,30,4,2,1,1,5,2,5,5,5,98,1,5,18,3,6,NA,NA,12,2,3,3,4,7,2,NA,3,2,278,12,1,1,1,1
"3",3,1,5,4,13,4,2,2,1,2,1,2,3,3,NA,3,NA,2,1,3,4,2,6,2,7,1,5,1,1,4,6,4,NA,10,5,2,10,1,2,3,3,1,4,2,5,3,3,2,3,2,1,3,1,3,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,4,1,1,4,2,1,3,1,4,2,2,4,4,5,60,40,30,1,73,80,65,30,NA,NA,NA,NA,NA,NA,NA,NA,80,20,20,60,1,3,3,3,4,1,4,1,1,8,NA,1,47,3,13,NA,NA,15,1,2,1,5,4,3,NA,1,2,278,12,1,1,1,1
"4",4,1,5,4,1,4,2,3,2,2,2,2,3,3,1,4,3,2,1,3,4,2,4,5,4,5,6,5,4,4,5,6,5,5,5,5,4,5,5,6,4,5,4,4,3,2,3,3,2,2,3,2,2,3,2,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,2,3,2,2,3,2,2,2,2,3,2,1,2,60,70,60,60,70,70,60,60,NA,NA,NA,NA,NA,NA,NA,NA,70,30,50,60,2,3,2,3,98,4,98,1,4,97,1,7,42,2,6,NA,NA,17,2,3,5,4,5,3,NA,1,2,631,12,1,1,1,1
"5",5,1,5,3,13,5,3,2,2,1,3,2,2,2,1,2,2,2,1,2,4,3,8,1,3,5,8,6,5,6,6,5,5,4,5,6,6,4,5,5,6,5,2,4,6,2,3,4,3,3,2,2,2,3,3,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,3,2,2,3,1,2,2,1,1,1,1,2,6,60,40,80,30,20,20,30,30,NA,NA,NA,NA,NA,NA,NA,NA,40,40,60,20,2,3,4,3,2,1,2,1,1,1,1,2,32,2,12,NA,NA,12,2,4,3,3,4,4,NA,1,2,631,12,1,1,1,1
"6",6,1,4,3,NA,3,3,3,3,3,3,4,2,2,2,4,3,2,1,2,3,4,7,9,6,9,7,10,8,9,6,9,1,2,5,5,5,5,5,5,5,5,1,1,2,2,5,2,2,2,2,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,4,4,4,4,4,3,4,1,1,1,4,1,4,60,40,30,50,50,60,60,30,NA,NA,NA,NA,NA,NA,NA,NA,80,30,30,50,5,1,1,3,5,2,5,2,2,10,1,5,26,4,1,NA,NA,12,2,5,1,4,5,3,NA,3,2,641,12,1,1,1,1
"7",7,1,3,3,1,2,2,2,2,3,1,2,2,2,2,2,3,1,4,3,2,1,NA,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6,NA,NA,8,NA,NA,7,NA,1,1,4,3,3,3,3,3,3,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,5,NA,4,4,97,1,3,28,1,3,97,1,12,2,5,2,2,2,3,NA,2,2,5,12,1,1,1,1
"8",8,1,3,3,1,3,4,4,4,4,4,4,1,2,NA,4,4,2,4,1,2,3,5,5,2,5,1,8,5,6,5,5,5,1,1,1,1,1,1,1,5,1,4,1,1,1,5,5,3,4,5,3,1,3,4,3,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,3,2,3,4,3,3,1,4,3,1,3,1,80,50,50,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,60,20,20,20,4,1,1,5,97,2,97,2,2,3,1,5,46,4,5,65,NA,14,2,3,1,5,8,2,NA,3,2,642,12,1,1,1,1
"9",9,1,5,4,13,4,1,2,3,2,2,2,1,2,1,2,1,2,2,3,1,4,9,6,5,4,5,4,5,6,5,7,5,5,4,4,4,3,4,5,4,4,2,2,4,3,2,3,3,2,3,3,3,2,3,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,2,3,2,3,3,3,2,3,2,2,3,3,4,40,60,80,60,60,50,30,30,NA,NA,NA,NA,NA,NA,NA,NA,60,60,80,40,1,3,2,3,4,1,4,1,1,NA,1,2,50,1,4,56,NA,16,1,3,2,4,3,3,NA,1,2,631,12,1,1,1,1
"10",10,1,4,3,20,4,3,2,2,2,2,2,3,3,1,3,4,1,4,1,2,3,6,5,5,5,4,3,5,5,5,5,1,8,5,1,7,2,1,5,5,1,2,1,4,2,5,5,1,2,3,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,4,4,NA,NA,NA,NA,NA,NA,3,3,1,1,3,5,80,60,70,50,40,30,60,40,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,50,4,4,2,4,4,3,4,4,4,97,1,3,43,2,12,NA,NA,19,1,2,3,6,4,3,NA,2,2,487,12,1,1,1,1
