"","version","age_1","agegroup_1","sex_1","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16a","v16b","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v51","v52","v53","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v68a","v69","v70","v71","v72a","v72b","v73a","v73b","v74a","v74b","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142","v143","v144","v145","v146","v147","v148","v149","v150","v151","v152","v153","v154","v155","v156","v157","v158","v159","v160","v161","v162","v163","v164","v165","v166","v167","v168","v169","v170","v171","v172","v173","v174","v175","v176","nv176","v177","v178","v179","nv179","v179a","v180","nv180","v180a","v181_1","v182","v183","v184","v185","v186","v187","v188","v189_1","v190","v191","v192","v193","v194_1","v195","day","month","zone","sample","panel","mergenumber","age_2","agegroup_2","sex_2","v189_2","v181_2","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","q16","q17","q18","q19","q20","q21","v194_2","date","w_arabs"
"1",3,57,5,2,1,3,3,17,3,2,NA,NA,NA,NA,NA,1,2,3,2,NA,NA,2,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,2,1,1,3,NA,NA,NA,3,3,3,3,1,NA,NA,NA,3,NA,4,NA,NA,2,4,NA,NA,NA,3,7,9,5,5,2,4,3,2,NA,10,9,6,1,3,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,2,6,5,7,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,3,2,3,1,3,1,2,3,3,1,3,9,9,NA,9,NA,9,NA,9,NA,3,NA,NA,5,4,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,4,1,99,NA,NA,100,40,60,2,3,1,1,2,4,3,NA,NA,NA,NA,8,2,8,2,1,1,NA,NA,28,4,9,27,4,9,16,1,"33",9,1,NA,NA,9,1,1,4,0,8200,1,1,21,1,4,1,1,48775361,57,NA,2,1,16,1,NA,1,99,2,1,3,5,1,4,4,5,2,2,2,4,3,4,2,5,2,1,12,1
"2",2,36,3,2,1,2,3,19,5,5,NA,NA,NA,NA,NA,1,1,1,4,NA,NA,2,4,1,3,2,NA,NA,NA,NA,NA,NA,NA,3,1,1,4,NA,NA,NA,1,3,3,3,3,NA,NA,NA,2,3,3,3,2,3,4,NA,NA,NA,3,7,7,10,7,8,8,10,3,1,10,7,8,2,1,1,2,3,1,2,2,2,3,2,2,1,2,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,2,3,2,3,2,3,NA,5,NA,5,5,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,5,2,2,2,2,99,85,40,3,97,1,1,2,4,3,NA,NA,NA,NA,2,1,8,3,1,1,NA,NA,64,2,7,64,2,7,12,2,"y2",4,4,NA,NA,3,1,2,3,0,8300,1,1,2,2,3,3,1,39462322,36,NA,2,1,12,2,14,NA,99,9,4,6,5,1,3,3,3,5,4,3,3,3,4,3,6,2,1,11,1
"3",2,37,3,2,1,4,3,1,5,1,NA,NA,NA,NA,NA,3,2,3,9,NA,NA,3,3,1,4,2,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,NA,NA,NA,4,3,4,3,2,NA,NA,NA,4,4,2,4,1,2,4,NA,NA,NA,2,6,6,6,7,5,2,1,99,1,5,1,5,2,1,1,3,2,3,3,2,2,5,3,3,3,1,1,1,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,1,9,1,3,1,3,NA,3,NA,5,5,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,4,97,90,8,97,50,95,50,3,1,1,1,2,4,3,NA,NA,NA,NA,8,2,1,1,1,1,NA,NA,1,1,6,1,1,6,17,1,"22",9,2,NA,1,3,1,1,6,0,8400,1,1,1,2,8,3,1,89351939,37,NA,2,1,17,1,NA,2,99,3,3,1,3,1,4,2,4,5,3,5,4,4,4,9,2,1,1,11,1
"4",3,29,2,1,1,2,2,1,1,2,NA,NA,NA,NA,NA,1,2,3,4,NA,NA,2,2,1,9,9,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,NA,NA,NA,1,9,3,2,2,NA,NA,NA,3,NA,9,NA,NA,3,3,NA,NA,NA,3,1,1,10,1,999,10,8,3,NA,6,8,10,2,3,2,3,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,2,5,9,9,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,9,NA,2,1,4,NA,9,NA,9,NA,2,1,2,3,9,NA,2,1,2,9,3,NA,NA,4,5,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,9,2,90,NA,NA,10,80,10,2,97,2,2,1,4,3,NA,NA,NA,NA,8,8,8,1,1,1,NA,NA,82,3,8,82,3,8,10,2,"46",9,2,NA,1,3,1,1,3,0,7000,1,1,3,2,8,3,1,89242935,29,NA,1,1,10,2,12,NA,90,1,9,6,3,2,3,5,4,1,4,4,4,3,9,5,3,9,1,11,1
"5",1,32,3,1,1,3,3,1,4,2,4,4,4,3,2,3,9,2,2,2,1,3,4,3,1,2,5,6,7,4,6,2,3,2,3,3,4,4,2,2,4,2,3,3,9,2,2,3,3,NA,3,NA,NA,3,2,9,8,9,2,3,3,3,3,3,3,3,9,NA,3,3,3,2,9,1,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,2,1,3,3,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,5,NA,5,NA,2,1,1,2,NA,NA,3,1,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,11,90,NA,NA,NA,NA,NA,NA,1,1,1,9,9,9,NA,NA,NA,NA,1,2,1,2,1,1,NA,NA,1,1,6,1,1,6,16,2,"44",2,1,NA,1,3,1,1,4,1,5000,1,1,2,2,54,3,1,544333040,33,NA,1,1,16,1,NA,1,90,3,4,1,5,2,4,4,2,2,2,5,4,2,2,2,6,2,1,11,1
"6",1,33,3,2,1,4,3,39,4,4,3,4,99,4,2,3,3,2,1,2,9,3,3,4,1,2,2,4,7,4,5,1,6,1,2,1,1,1,3,2,4,3,4,2,1,1,3,1,3,NA,2,NA,NA,2,2,6,7,8,3,5,7,4,9,2,1,1,4,NA,7,5,3,9,NA,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,3,2,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,1,9,1,2,3,2,NA,NA,6,3,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,8,90,NA,NA,NA,NA,NA,NA,8,1,4,1,2,3,NA,NA,NA,NA,8,2,1,1,1,1,NA,NA,16,4,9,16,4,9,20,1,"6",9,2,NA,1,2,1,1,6,0,9700,1,1,5,2,9,3,1,97451651,33,3,2,1,22,1,NA,8,8,2,4,6,4,2,4,3,1,3,2,4,3,3,3,5,2,2,1,12,1
"7",3,NA,4,2,1,4,3,1,4,3,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,1,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,NA,NA,NA,3,3,4,3,3,NA,NA,NA,3,NA,4,NA,NA,1,3,NA,NA,NA,3,8,8,6,6,5,4,2,99,NA,8,7,6,9,NA,1,9,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,3,4,8,9,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,NA,5,NA,5,NA,2,9,2,3,3,2,2,3,1,2,4,NA,1,3,4,NA,1,NA,NA,5,4,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,3,97,99,NA,NA,40,80,20,2,99,1,1,2,3,4,NA,NA,NA,NA,1,2,1,2,1,1,NA,NA,25,4,9,23,4,9,20,1,"8",9,1,NA,NA,9,1,1,6,0,6400,1,1,3,2,9,3,1,99517379,NA,NA,2,1,20,1,NA,99,99,3,4,2,5,1,4,2,2,2,2,4,4,4,4,5,2,2,1,12,1
"8",1,50,5,1,1,3,3,23,2,1,7,5,99,3,1,2,2,3,4,3,9,2,3,1,4,2,6,6,6,5,7,5,7,1,2,3,9,9,2,9,4,2,3,3,3,2,3,3,3,NA,4,NA,NA,2,4,6,6,99,1,4,5,5,5,5,5,7,9,NA,6,6,6,2,9,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,3,3,3,1,3,3,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,4,NA,9,NA,4,NA,NA,NA,4,5,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,99,99,NA,NA,NA,NA,NA,NA,99,1,1,4,2,3,NA,NA,NA,NA,2,2,1,2,1,1,NA,NA,NA,NA,11,NA,NA,NA,17,1,"5",3,3,4,1,2,1,1,6,0,5000,1,1,27,1,3,2,0,36417193,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"9",1,53,5,1,1,3,3,32,1,3,7,6,99,1,3,1,2,2,2,2,1,3,3,4,1,2,2,6,7,1,6,2,3,1,1,2,1,1,3,2,4,3,3,3,2,1,3,2,3,NA,2,NA,NA,2,2,7,7,99,2,5,7,3,8,3,2,2,4,NA,5,7,3,3,1,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,3,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,3,2,1,2,3,2,NA,NA,5,5,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,8,99,NA,NA,NA,NA,NA,NA,3,2,1,2,4,3,NA,NA,NA,NA,2,2,1,2,1,1,NA,NA,38,6,11,38,6,11,12,1,"12",2,2,3,1,3,1,1,6,0,5000,1,1,2,2,3,3,0,36991077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"10",1,82,8,2,1,4,3,5,3,3,3,6,99,3,9,2,1,3,4,2,2,1,4,3,1,2,9,9,9,9,9,9,1,1,2,3,3,3,1,1,9,3,9,9,9,9,9,9,9,NA,1,NA,NA,1,3,5,8,99,3,10,999,999,999,999,999,999,1,NA,10,6,99,5,NA,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,9,1,3,2,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,NA,9,NA,1,2,3,2,NA,NA,3,5,6,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,90,NA,NA,NA,NA,NA,NA,99,1,2,1,3,4,NA,NA,NA,NA,8,8,1,2,27,4,NA,NA,8,5,3,27,4,3,18,NA,"y3",5,5,NA,1,3,1,2,6,0,9500,1,1,27,1,4,2,0,48764654,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
