"","date","id","version","age","age_group","sex","v5","v6","v7","v8","v9","v10","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45A","v45B","v45C","v45D","v45E","v45F","v45G","v45H","v45I","v45J","v46A","v46B","v46C","v46D","v46E","v46F","v46G","v46H","v46I","v46J","v46K","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v59","v60","v61","v62","v63","v64","v65","v66","v103","v67","v69","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v86","v87","v89","v90","v91","v92","v93","v98_B","v100","v101","v102","v88","v104","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129_B","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142","v143","v144","v145","v146","v147","v148","v149","v150","v151","v152","v153","v156","week","a_date","a_age","a_agegroup","a_sex","a_religion","a_educ","a_v1","a_v2","a_v3","a_v4","a_v5A","a_v6","a_v7A","a_v8","a_v9","a_v10","a_v11","a_v12","a_v13","a_v14","a_v5B","a_v7B","a_v15","a_v16","a_v20","a_v22"
"1","23/12/2012",2796,2,32,3,2,1,4,2,21,2,3,NA,3,2,3,3,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,3,2,2,2,2,NA,NA,4,NA,NA,NA,NA,3,1,4,8,0,0,10,1,0,0,NA,NA,NA,8,5,0,5,4,0,10,0,NA,NA,NA,2,3,2,4,3,1,1,5,3,5,2,2,1,1,1,4,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,4,5,5,4,3,1,1,5,5,1,1,1,1,1,2,3,2,3,3,3,2,8,3,1,6,1,1,NA,NA,NA,3,4,NA,NA,17,8,2,1,1,3,1,1,9,1,5,5,1,1,3,3000,1,1,2,1,"03/02/2013",32,3,2,1,17,1,5,6,100,2,4,4,4,1,4,2,4,4,4,4,4,4,2,1,52
"2","23/12/2012",2352,1,37,3,2,1,3,2,1,2,3,2,1,1,2,2,4,3,9,9,1,1,3,2,2,2,1,2,4,NA,3,3,2,3,2,3,2,4,4,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,2,3,2,1,1,1,2,1,1,1,3,1,1,NA,NA,NA,6,6,5,NA,NA,2,1,1,2,1,1,3,1,4,2,1,1,3,3,2,4,2,3,1,1,2,2,1,1,NA,1,3,1978,NA,13,4,1,4,NA,NA,1,1,5,1,4,6,3,1,3,7100,1,1,8,1,"29/01/2013",37,3,2,1,13,1,1,2,91,4,3,5,5,2,3,4,4,4,4,1,2,6,2,1,8
"3","23/12/2012",2686,1,26,2,1,1,1,2,1,2,2,4,4,2,3,3,1,2,3,4,1,1,3,1,4,4,1,3,2,NA,4,1,4,1,4,4,4,4,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,2,1,3,1,1,2,1,1,1,1,3,1,1,NA,NA,NA,5,6,1,NA,NA,1,1,7,7,3,3,1,1,1,4,2,2,1,2,4,1,1,2,1,1,2,2,3,1,NA,3,4,NA,NA,20,7,2,10,NA,16,1,1,8,6,4,6,3,1,3,3000,1,1,2,1,"28/01/2013",26,2,1,1,18,1,7,5,7,5,3,3,3,2,5,4,5,5,1,2,1,2,1,1,50
"4","23/12/2012",2242,2,39,3,1,1,3,9,25,4,3,NA,4,2,3,2,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,4,3,3,3,3,NA,NA,2,NA,NA,NA,NA,1,2,3,7,2,0,4,0,2,2,NA,NA,NA,5,3,0,0,5,2,4,0,NA,NA,NA,5,3,2,3,2,1,3,3,3,3,1,4,1,4,1,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,6,5,4,1,3,1,1,4,3,3,1,2,1,4,4,1,1,4,2,3,2,2,1,1,2,2,3,1,1,2,3,1990,1,14,5,1,1,1,64,1,1,7,4,5,5,3,1,1,7700,1,1,4,1,"04/02/2013",39,3,1,1,14,1,4,2,4,1,4,4,4,2,5,2,2,4,4,4,4,5,2,1,4
"5","23/12/2012",2587,1,34,3,2,1,3,3,44,4,3,3,4,2,1,1,1,2,3,4,3,1,2,1,4,9,1,1,4,NA,2,3,3,1,4,2,4,4,1,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,2,1,1,1,2,3,2,1,3,3,3,1,1,NA,NA,NA,1,3,1,NA,NA,2,1,7,99,4,2,4,2,2,1,4,4,1,3,3,3,8,2,1,1,2,2,1,1,NA,4,4,NA,NA,16,7,1,1,1,8,1,1,7,3,4,7,3,1,3,3000,1,1,2,1,"28/01/2013",34,3,2,1,16,2,98,1,98,3,4,4,3,2,4,2,2,3,5,2,4,5,1,1,2
"6","23/12/2012",2842,1,61,6,1,1,2,3,4,3,3,4,4,2,2,2,3,1,4,2,1,3,3,1,2,2,2,1,4,NA,1,1,4,1,1,1,1,3,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,1,2,1,3,3,3,1,3,2,9,1,1,NA,NA,NA,5,2,5,NA,NA,1,1,3,2,3,3,1,1,1,4,3,1,1,3,1,1,1,2,1,1,2,2,2,2,NA,2,5,NA,NA,12,4,1,1,1,61,2,1,5,6,5,4,3,1,1,2620,1,1,52,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","23/12/2012",2797,2,32,3,2,1,5,3,60,9,3,NA,9,9,1,2,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,1,9,3,3,4,NA,NA,9,NA,NA,NA,NA,2,2,3,99,99,99,99,99,99,99,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,2,2,9,9,9,2,1,9,9,3,4,4,3,4,4,4,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,5,1,1,5,2,1,1,6,6,1,9,4,1,9,9,9,4,9,1,9,4,8,8,1,1,2,2,1,1,6,4,6,NA,NA,14,5,2,1,1,16,2,1,3,5,3,6,3,1,4,831,1,1,77,1,"28/01/2013",36,3,2,1,14,1,99,6,99,4,2,3,3,4,4,2,4,5,4,2,3,4,1,1,77
"8","23/12/2012",77,2,31,3,2,1,2,2,21,4,3,NA,2,9,1,1,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,3,2,3,1,3,NA,NA,3,NA,NA,NA,NA,3,4,3,99,99,99,99,99,99,99,NA,NA,NA,99,99,99,99,99,99,99,99,NA,NA,NA,1,1,1,5,5,2,2,2,2,2,1,1,1,1,1,1,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,1,6,5,1,1,1,99,99,1,2,4,1,1,2,2,2,1,3,3,1,8,8,8,6,1,1,NA,NA,NA,3,3,2000,1,12,4,2,1,1,41,2,1,97,1,2,2,3,1,2,6400,1,1,54,1,"11/02/2013",34,3,2,1,12,1,4,4,4,3,3,4,4,4,4,3,3,3,3,2,4,4,6,1,54
"9","23/12/2012",2324,1,37,3,1,1,4,4,1,4,4,4,4,2,4,1,1,2,4,3,1,1,3,1,3,4,1,3,3,NA,4,4,3,4,4,1,4,4,4,9,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,3,2,1,3,1,3,1,3,3,2,1,1,NA,NA,NA,5,5,4,NA,NA,2,2,5,1,2,1,1,1,1,2,2,1,1,4,2,2,2,3,8,6,1,1,NA,NA,NA,2,4,NA,NA,12,4,1,2,1,21,2,1,5,7,3,1,3,1,1,6400,1,1,9,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","23/12/2012",2641,2,33,3,2,1,3,3,37,4,3,NA,9,1,3,2,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,3,3,4,9,2,NA,NA,4,NA,NA,NA,NA,2,3,2,4,7,5,2,1,2,5,NA,NA,NA,5,7,6,3,1,3,4,99,NA,NA,NA,3,3,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,2,4,4,1,1,1,2,1,5,2,4,3,2,4,4,1,1,1,3,1,8,2,8,6,1,1,NA,NA,NA,2,6,NA,NA,17,7,1,1,2,16,1,1,5,6,1.5,1,3,1,1,313,1,1,54,1,"04/02/2013",33,3,2,1,17,1,2,5,100,3,5,3,4,2,4,2,2,4,4,3,4,4,6,1,54
