"","resp_id","date","version","age","agegroup","gender","educ","v5","v6","v7","v8_code_1","v8_code_2","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v45","v46","v47","v48","v49A","v49B","v49C","v49D","v49E","v49F","v49G","v49H","v49I","v49S","v49J","v49R","v50","v51","v52A","v52B","v52C","v52D","v52E","v52F","v52G","v52H","v52I","v52J","v52K","v52R","v52S","v52T","v52U","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v75","v76","v77","v78","v79","v93","v94","v95","v104","v105","v105A","v106","v107","v108","v111","v112","v113","v114","v115","v116","v117","v118","v129","v130","v131","v132","v133","v134","v135","v137","v138_code","v139","v140","v141","v142","v143_code","v144","v148","v149","midgam","interview_wave2","date_after","v1_after","v2_after","v3_after","v4_after","v5_after","v6A_after","v6B_after","v6C_after","v6D_after","v6E_after","v6F_after","v6G_after","v6H_after","v6I_after","v6J_after","v7_after","V8A_after_code1","V8A_after_code2","V8A_after_code3","V8B_after_code1","V8B_after_code2","V8B_after_code3","v9_after","v10_after","v11_after","v17_after","v18_after","c_resp_id_before","c_date_before","girsa_c","c301","c302","c303","c304","c305","c306","c307","c308","c309","c104","c8_Code1","c8_Code2","c19","c20","c21","c25","c28","c29","c49_a","c49_b","c49_c","c49_d","c49_f","c49_h","c49_j","c52_a","c52_b","c52_d","c52_e","c52_g","c52_i","c52_k","c106","c107","c111","c310","c148","c149","d_resp_id_after","d_date_after","D1","D2","D4","D7","D9","D17","D18","educ_w","religiosity_w","educ_arab_w","weights_panel_1","weights_panel_2","weights_panel_3","weights_panel_4"
"1",197563,"24/02/2019",1,85,8,2,3,1,3,2,15,31,3,3,3,2,1,2,3,4,2,1,2,98,4,2,4,98,1,NA,NA,NA,NA,NA,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,5,2,99,1,NA,NA,NA,1,3,3,2,10,8,98,4,4,5,2,3,3,3,1948,2,1,"Y2",1,2,1,3,1,5,1,1,1,1,"11/04/2019",1,99,6,2,2,4,4,4,4,2,3,4,4,4,4,2,98,NA,NA,98,NA,NA,1,3,4,1,1,203099,"01/09/2019",1,4,4,98,4,4,3,1,4,2,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,204234,"19/09/2019",1,2,4,4,3,1,1,1,4,NA,1.36234634287658,1.41584627244305,1.45805783556093,1.49341784853174
"2",197565,"24/02/2019",1,94,8,2,3,1,3,3,12,NA,3,3,3,3,2,2,4,2,1,3,2,4,3,2,3,2,1,NA,NA,NA,NA,NA,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,5,5,2,NA,NA,NA,NA,98,4,3,98,10,9,10,4,4,5,1,4,4,4,1960,1,1,"Y2",1,2,1,3,1,5,1,1,1,1,"11/04/2019",1,2,6,9,3,4,4,4,4,2,3,4,4,4,4,5,69,NA,NA,13,NA,NA,2,3,4,1,1,203111,"02/09/2019",1,4,1,2,2,4,1,1,3,4,2,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,4,NA,1.36234634287658,1.41584627244305,1.45805783556093,NA
"3",197566,"24/02/2019",1,NA,8,1,4,1,2,3,15,NA,4,3,3,1,2,2,3,1,4,2,1,3,4,2,3,4,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,5,5,5,2,NA,NA,NA,NA,98,4,1,3,10,10,5,4,4,1,2,2,2,2,1951,3,1,"14",3,3,2,3,1,4,1,1,1,1,"11/04/2019",1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,NA,NA,99,NA,NA,9,9,9,1,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,2,3,NA,1.04829361271311,1.09107106015303,NA,NA
"4",197570,"24/02/2019",1,27,2,2,4,1,3,4,54,NA,3,4,2,2,98,4,3,2,4,1,4,3,1,2,3,2,1,NA,NA,NA,NA,NA,1,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,3,3,97,1,NA,NA,NA,99,3,3,98,9,6,4,4,2,6,2,1,1,1,NA,10,1,"31",2,2,1,3,1,5,1,1,1,1,"18/04/2019",1,2,1,3,1,2,3,2,5,2,3,3,4,2,2,5,60,43,NA,21,NA,NA,2,2,3,1,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,2,4,NA,0.90115712740743,0.899936424246566,NA,NA
"5",197572,"24/02/2019",1,85,8,2,5,1,2,3,32,NA,98,3,98,2,1,2,4,1,4,3,2,3,4,2,98,3,1,NA,NA,NA,NA,NA,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,5,5,5,2,NA,NA,NA,NA,4,4,1,98,10,8,6,3,3,5,2,3,3,3,1944,1,2,"23",3,2,2,1,1,4,1,1,1,1,"15/04/2019",1,2,5,5,4,4,4,4,4,4,2,4,4,3,2,5,53,NA,NA,3,NA,NA,2,3,4,1,1,203085,"01/09/2019",1,2,2,1,5,2,4,4,4,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,204271,"19/09/2019",1,2,5,4,3,1,1,3,3,NA,0.773563171534316,0.774422385503248,0.770718894606317,0.76700301235974
"6",197576,"24/02/2019",1,44,4,2,1,1,2,2,33,NA,2,2,3,3,1,2,3,4,2,1,2,1,3,1,3,2,1,NA,NA,NA,NA,NA,3,1,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,5,5,1,1,NA,NA,NA,NA,1,4,98,5,8,7,8,4,4,3,1,4,4,4,1996,1,1,"12",2,2,3,3,1,5,1,1,1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,4,NA,1.36234634287658,NA,NA,NA
"7",197577,"24/02/2019",1,55,5,1,2,1,2,1,18,NA,3,2,3,4,2,2,1,3,4,2,4,4,2,1,4,2,2,NA,NA,NA,NA,NA,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,5,3,1,NA,NA,NA,NA,1,3,3,5,8,8,6,4,4,2,2,1,2,2,NA,2,1,"",3,4,3,3,1,4,1,1,1,1,"17/04/2019",1,1,6,5,1,5,9,9,9,9,9,5,5,1,2,3,98,NA,NA,98,NA,NA,1,3,4,1,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,3,NA,1.58478352565356,1.71655336073487,NA,NA
"8",197579,"24/02/2019",1,58,5,2,7,1,3,4,32,NA,3,3,3,3,1,3,3,4,1,2,2,3,4,2,3,4,1,NA,NA,NA,NA,NA,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,5,1,2,NA,NA,NA,NA,2,4,1,1,10,7,4,4,3,1,2,1,3,3,NA,1,1,"23",3,5,2,2,1,5,1,1,1,1,"11/04/2019",1,2,5,4,1,2,4,3,1,4,2,4,4,4,4,5,56,58,71,13,19,NA,2,2,4,1,1,203656,"10/09/2019",1,1,1,4,4,1,4,5,3,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,204545,"22/09/2019",1,2,4,6,2,1,1,4,4,NA,0.808874660503314,0.792485631491986,0.734300059302239,0.723389920167168
"9",197580,"24/02/2019",1,88,8,1,5,1,2,2,1,NA,1,3,4,4,1,2,3,1,4,2,4,2,3,1,4,3,4,NA,NA,NA,NA,NA,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,5,5,5,1,NA,NA,NA,NA,98,1,1,2,10,10,6,4,4,1,4,3,4,3,1949,10,1,"13",3,3,2,3,1,3,1,1,1,1,"16/04/2019",1,99,5,3,1,4,4,4,4,4,4,4,3,2,3,5,62,NA,NA,8,NA,NA,2,3,4,1,1,203490,"08/09/2019",1,4,2,5,5,2,2,2,2,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,205009,"24/09/2019",1,99,1,6,3,1,1,3,3,NA,0.773563171534316,0.774422385503248,0.770718894606317,0.76700301235974
"10",197581,"24/02/2019",1,73,7,1,7,1,1,2,65,NA,1,3,1,4,2,3,2,4,3,1,4,2,3,1,3,3,3,NA,NA,NA,NA,NA,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,5,3,1,NA,NA,NA,NA,94,2,1,5,9,9,10,4,4,1,2,1,3,3,NA,1,1,"21",2,5,2,3,1,5,1,1,1,1,"11/04/2019",1,1,6,5,1,4,1,5,4,5,3,5,5,4,4,5,58,70,NA,30,NA,NA,2,3,4,1,1,203117,"02/09/2019",1,4,5,1,2,1,4,2,3,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,204368,"19/09/2019",1,1,4,6,3,1,1,4,4,NA,0.808874660503314,0.792485631491986,0.734300059302239,0.723389920167168
"11",197582,"24/02/2019",1,26,2,1,6,1,3,3,43,NA,3,1,4,4,1,3,2,3,1,4,4,1,4,2,1,2,1,NA,NA,NA,NA,NA,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,1,2,1,NA,NA,NA,NA,1,3,1,5,10,10,2,4,3,6,2,1,1,3,NA,1,1,"54",1,2,1,2,1,5,1,1,1,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,3,4,NA,0.664987325186367,NA,NA,NA
"12",197583,"24/02/2019",1,27,2,2,7,1,2,2,1,NA,3,3,3,3,98,3,3,1,4,2,2,3,4,1,1,2,1,NA,NA,NA,NA,NA,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,2,2,2,NA,NA,NA,NA,1,4,1,98,10,8,6,4,3,6,1,1,1,1,NA,5,1,"24",98,4,3,1,1,5,1,1,1,1,"17/04/2019",1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,NA,NA,99,NA,NA,9,9,9,1,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,4,4,NA,0.808874660503314,0.792485631491986,NA,NA
"13",197584,"24/02/2019",1,28,2,1,5,1,3,2,15,NA,5,3,2,4,1,4,3,4,1,2,2,4,4,2,4,1,1,NA,NA,NA,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,5,3,97,98,NA,NA,NA,1,4,1,5,10,2,4,4,4,6,1,1,3,2,NA,10,1,"26",1,3,2,3,1,5,1,1,1,1,"29/04/2019",1,2,3,5,1,2,4,1,1,1,4,5,5,1,1,5,96,NA,NA,28,39,NA,2,3,4,1,1,204094,"16/09/2019",1,1,1,4,5,1,5,4,1,4,97,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,204188,"19/09/2019",1,2,5,2,4,1,1,3,4,NA,0.664987325186367,0.638758498798912,0.622083682721358,0.621752486970674
"14",197585,"24/02/2019",1,58,5,2,7,1,2,2,33,NA,3,3,3,2,1,4,3,1,4,2,98,4,4,2,98,98,3,NA,NA,NA,NA,NA,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,5,5,5,97,1,NA,NA,NA,98,6,1,5,10,6,7,4,4,2,2,1,3,3,NA,1,1,"22",3,6,3,2,1,5,1,1,1,1,"11/04/2019",1,3,1,1,3,4,2,1,1,3,1,2,3,4,3,1,41,NA,NA,12,NA,NA,2,3,4,1,1,203220,"03/09/2019",1,3,2,5,3,2,1,5,3,3,97,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,204542,"22/09/2019",1,9,5,2,3,1,1,4,4,NA,0.808874660503314,0.792485631491986,0.734300059302239,0.723389920167168
"15",197586,"24/02/2019",1,58,5,1,5,1,3,2,25,NA,2,2,5,4,2,2,1,3,4,2,2,4,2,98,3,4,1,NA,NA,NA,NA,NA,1,3,98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,2,2,1,NA,NA,NA,NA,1,5,3,5,8,10,8,4,4,1,2,2,2,2,1961,10,1,"13",4,4,4,3,1,4,1,1,1,1,"11/04/2019",1,1,6,9,9,9,9,9,9,9,9,9,9,9,9,9,99,NA,NA,99,NA,NA,9,9,9,1,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,3,3,NA,0.773563171534316,0.774422385503248,NA,NA
