"","id","date","agree","age","agegroup","gender","educ","v5","v6","v8_code","v501","v514","v12","v13","v15","v16","v19","v20","v21","v503A","v25","v22","v26","v27","v28","v29","v30","v502","v45","v46","v47","v48","v49A","v49B","v49C","v49D","v49H","v49I","v49S","v49K","v49J","v50","v51","v52A","v52B","v52I","v52K","v52R","v63","v64","v65","v66","v67","v68","v69","v504","v73","v505","v506","v104E","v106","v107","v507","v508","v509","v111","v510","v511","v115","v116","v512_code","v513","v134","v135","v137","v139","v140","v141","v143_code","v144","v147","Language","sector","date_after","agree_after","E1_after","E2_after","E4_after","E7_after","E8A_after_code1","E8A_after_code2","E8A_after_code3","E8B_after_code1","E8B_after_code2","E8B_after_code3","E9_after","E10_after","E147_after","E17_after","E18_after","Institute","weights_panel_1","weights_panel_2","educ_w","religiosity_w","educ_arabs_w"
"1",3,"10/02/2020",1,57,5,2,3,1,2,33,3,1,4,1,1,2,2,4,1,1,3,1,NA,NA,NA,NA,NA,NA,1,2,2,2,10,2,0,8,0,7,7,4,0,10,0,10,0,0,NA,NA,4,4,4,4,4,4,4,4,3,5,1,1,1,1,1,1,1,1,1,4,10,10,33,1,1965,3,2,2,"4",3,1,4,1,1,1,".",NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,1,1.87128420840388,NA,1,3,1
"2",176,"06/02/2020",1,88,8,2,1,1,2,30,9,3,3,1,3,1,4,98,2,2,1,98,NA,NA,NA,NA,NA,NA,2,4,98,2,98,98,98,98,98,98,98,98,98,98,0,9,98,0,NA,NA,98,99,99,99,99,99,99,99,3,5,0,94,12,12,98,98,98,4,3,1,5,9,84,1,1951,2,98,98,"3",2,1,3,3,1,1,"04/03/2020",1,2,94,1,6,"98","","","98","","",8,3,1,1,1,1,1.87128420840388,2.09344265543256,1,3,1
"3",241,"01/03/2020",1,86,8,2,8,1,3,13,3,2,2,98,4,3,1,3,98,4,1,2,NA,NA,NA,NA,NA,NA,2,3,4,1,0,5,7,0,0,0,0,0,2,0,9,0,6,0,NA,NA,4,3,3,4,4,4,4,4,1,6,0,99,98,3,6,6,9,7,1,4,7,1,61,2,1948,1,2,99,"2",1,1,3,1,1,1,"09/03/2020",1,1,99,5,2,"66","65","62","14","13","",2,2,1,1,1,1,0.832570579541014,0.723451426363539,4,3,3
"4",267,"18/02/2020",1,86,8,1,3,1,2,33,3,1,2,1,3,4,1,4,4,4,1,2,NA,NA,NA,NA,NA,NA,2,4,1,1,0,10,5,0,0,0,0,0,2,0,5,0,10,3,NA,NA,4,2,2,4,4,4,4,1,2,5,0,99,3,3,99,99,99,4,3,1,5,1,21,6,NA,10,2,98,"3",1,1,5,1,1,1,"04/03/2020",1,1,99,4,6,"98","","","14","31","32",2,2,2,1,1,1,1.65398249873891,1.97512155279045,1,4,1
"5",268,"18/02/2020",1,84,8,2,7,1,1,33,2,8,2,1,3,4,4,3,4,4,1,2,NA,NA,NA,NA,NA,NA,1,2,1,98,3,5,2,0,2,0,0,0,0,2,2,2,5,2,NA,NA,3,4,1,4,4,4,4,4,1,5,0,99,98,5,99,99,99,4,3,5,7,4,21,2,1949,10,2,3,"3",1,1,5,1,1,1,"09/03/2020",1,1,2,3,6,"71","56","","03","","",3,3,1,1,1,1,0.735888841118538,0.682562047209443,4,4,3
"6",270,"14/02/2020",1,86,8,2,3,1,4,31,2,1,3,1,3,4,98,3,2,4,1,2,NA,NA,NA,NA,NA,NA,2,4,99,99,99,99,99,99,99,99,99,99,99,95,95,99,99,99,NA,NA,1,99,99,99,4,4,4,4,3,6,1,99,99,99,99,99,99,99,3,1,4,1,21,2,1949,10,1,98,"4",2,1,4,1,1,1,"09/03/2020",1,1,2,4,2,"43","","","01","","",8,3,1,1,1,1,1.87128420840388,2.09344265543256,1,3,1
"7",271,"14/02/2020",1,85,8,1,5,1,2,33,1,1,4,2,1,4,4,1,1,4,1,2,NA,NA,NA,NA,NA,NA,1,4,2,2,7,3,0,7,7,0,0,0,0,7,0,8,4,7,NA,NA,4,3,4,4,4,4,4,4,1,6,0,99,5,5,99,99,99,1,1,3,8,8,33,6,NA,10,1,99,"5",2,1,4,1,1,1,"04/03/2020",1,1,99,4,3,"87","","","87","","",3,3,2,1,1,1,0.813601687649164,0.782618572324398,3,3,2
"8",272,"23/02/2020",1,86,8,1,4,1,1,53,3,1,4,2,2,1,4,2,2,4,1,1,NA,NA,NA,NA,NA,NA,2,2,2,2,8,0,5,7,0,7,7,7,0,8,4,8,4,0,NA,NA,1,4,3,3,4,3,4,4,1,5,0,1,5,5,94,1,1,2,3,4,10,7,21,5,NA,2,1,2,"4",2,1,3,1,1,1,"04/03/2020",1,1,1,4,6,"55","52","","28","","",3,3,1,1,1,1,1.15634963894953,1.15846023458436,2,3,2
"9",290,"03/02/2020",1,85,8,1,3,1,4,21,1,8,3,1,3,98,2,4,4,4,1,2,NA,NA,NA,NA,NA,NA,2,4,1,1,2,8,5,0,3,0,0,0,2,3,7,2,8,4,NA,NA,4,4,4,1,3,4,3,4,1,6,0,2,98,3,2,2,98,4,3,4,8,1,52,4,NA,10,1,1,"3",2,1,5,1,1,1,"",NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,1,1.65398249873891,NA,1,4,1
"10",292,"05/02/2020",1,85,8,2,1,1,5,33,2,8,4,98,1,3,1,98,4,4,1,2,NA,NA,NA,NA,NA,NA,2,3,1,1,0,8,8,98,2,0,0,0,0,0,5,0,8,8,NA,NA,98,4,4,3,3,3,4,3,3,5,0,2,98,4,2,2,4,5,3,1,5,1,84,2,1948,1,1,5,"4",3,1,5,1,1,1,"",NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,1,1.65398249873891,NA,1,4,1
"11",321,"20/02/2020",1,84,8,2,5,1,3,71,98,2,4,2,4,2,4,98,4,4,1,1,NA,NA,NA,NA,NA,NA,3,4,99,99,99,98,5,98,98,98,98,98,98,0,9,98,98,5,NA,NA,5,3,1,4,4,1,4,1,3,5,0,99,98,20,98,99,98,4,3,4,10,98,8,7,NA,1,1,98,"2",2,1,5,1,1,1,"09/03/2020",1,1,2,4,6,"98","","","98","","",2,2,1,1,1,1,0.719122699947309,0.738385073888072,3,4,2
"12",323,"01/03/2020",1,84,8,1,7,1,3,65,3,2,3,1,4,3,1,3,3,4,1,2,NA,NA,NA,NA,NA,NA,2,4,1,1,0,7,8,0,2,0,0,0,5,95,95,0,7,3,NA,NA,4,3,4,4,4,4,4,3,1,6,0,99,6,4,3,98,9,6,3,4,7,1,34,6,NA,10,1,4,"5",2,1,5,1,1,1,"04/03/2020",1,1,2,5,6,"52","41","","26","07","",2,2,1,1,1,1,0.735888841118538,0.682562047209443,4,4,3
"13",366,"18/02/2020",1,89,8,2,4,1,5,31,3,2,3,1,1,4,98,3,4,4,2,2,NA,NA,NA,NA,NA,NA,3,4,1,2,6,98,98,98,7,98,98,98,98,0,5,5,5,6,NA,NA,4,3,3,4,4,3,3,4,3,5,0,98,98,98,94,98,98,7,3,1,4,4,27,3,1992,1,1,1,"3",1,1,5,1,3,1,"",NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,1,1.02206925952575,NA,2,4,2
"14",445,"28/02/2020",1,82,8,1,5,1,3,32,3,8,1,1,3,4,2,2,4,4,2,2,NA,NA,NA,NA,NA,NA,1,2,1,1,5,10,10,5,5,0,0,0,5,5,10,0,10,10,NA,NA,4,4,3,4,4,4,4,4,1,6,5,2,5,4,2,3,2,4,3,4,5,7,93,3,1966,5,1,3,"4",2,1,4,1,1,1,"05/03/2020",1,1,3,5,2,"66","76","","22","37","",2,3,1,1,1,1,0.813601687649164,0.782618572324398,3,3,2
"15",449,"26/02/2020",1,82,8,2,8,1,4,61,3,2,98,1,3,4,1,3,4,4,1,2,NA,NA,NA,NA,NA,NA,2,4,1,1,0,9,9,0,0,0,0,0,6,95,95,0,8,2,NA,NA,4,3,4,4,3,4,4,1,1,6,0,2,98,3,6,98,9,7,1,1,3,1,56,2,1975,1,1,5,"6",2,1,5,1,1,1,"09/03/2020",1,1,2,5,6,"51","41","","22","21","",2,2,1,1,1,1,0.735888841118538,0.682562047209443,4,4,3
"16",451,"28/02/2020",1,82,8,2,5,1,2,32,3,1,4,2,4,3,1,2,3,4,1,2,NA,NA,NA,NA,NA,NA,3,4,98,2,99,99,99,99,99,99,99,99,99,5,5,3,5,0,NA,NA,5,4,4,4,4,4,4,3,1,5,1,99,6,5,99,99,98,4,1,4,6,4,0,4,NA,1,1,1,"6",2,1,5,2,1,1,"",NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,1,0.719122699947309,NA,3,4,2
"17",470,"29/01/2020",1,81,8,1,8,1,3,21,1,NA,2,1,3,4,2,3,3,NA,1,2,NA,NA,NA,NA,NA,NA,2,4,1,1,1,6,6,1,5,1,0,3,5,4,9,4,8,6,NA,NA,4,3,4,98,4,4,4,3,1,6,4,98,2,4,6,2,9,7,1,4,8,3,97,6,NA,10,2,4,"4",2,1,5,1,1,1,"08/03/2020",1,1,99,5,6,"86","","","86","","",2,4,1,1,1,1,0.735888841118538,0.682562047209443,4,4,3
"18",473,"19/02/2020",1,82,8,2,8,1,3,6,3,1,3,1,1,2,3,2,98,1,98,1,NA,NA,NA,NA,NA,NA,2,4,2,2,5,0,3,98,0,0,98,2,98,5,3,9,5,1,NA,NA,2,4,3,3,4,4,4,4,3,6,4,1,5,5,1,9,1,98,3,1,7,7,33,3,1990,1,1,1,"3",1,1,5,1,3,1,"",1,1,3,4,6,"64","","","22","","",1,3,2,1,1,1,0.735888841118538,0.682562047209443,4,4,3
"19",477,"30/01/2020",1,83,8,1,2,1,3,31,2,1,3,2,3,1,4,4,4,1,3,1,NA,NA,NA,NA,NA,NA,4,4,2,2,8,7,98,98,98,0,5,0,0,0,9,1,2,5,NA,NA,98,2,4,3,3,4,2,4,3,6,0,1,98,5,1,1,98,1,3,3,5,5,33,1,1957,2,98,1,"5",3,1,5,1,1,1,"04/03/2020",1,1,99,9,4,"56","","","03","08","",3,3,1,1,1,1,1.65398249873891,1.97512155279045,1,4,1
"20",478,"31/01/2020",1,82,8,1,8,1,4,1,2,1,4,2,2,1,98,2,1,4,1,1,NA,NA,NA,NA,NA,NA,1,4,2,2,4,3,0,5,4,0,98,0,0,4,0,5,3,2,NA,NA,4,1,98,1,4,4,98,4,3,6,0,97,5,5,1,9,1,1,3,4,3,5,3,3,1973,1,1,4,"5",2,1,2,1,1,1,"",NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,1,0.818584790707929,NA,4,2,3
"21",499,"13/02/2020",1,NA,8,2,7,1,3,5,2,2,2,1,4,1,1,3,4,1,1,2,NA,NA,NA,NA,NA,NA,3,4,3,3,0,8,8,0,5,0,0,0,5,5,5,0,8,8,NA,NA,4,3,1,4,3,4,2,4,3,5,0,2,98,5,2,2,4,4,1,3,6,2,21,6,NA,1,1,2,"3",2,1,5,1,1,1,"09/03/2020",1,1,2,5,6,"80","","","07","","",15,3,1,1,1,1,0.735888841118538,0.682562047209443,4,4,3
"22",509,"19/02/2020",1,81,8,1,5,1,2,23,4,1,3,2,3,4,98,2,3,3,1,98,NA,NA,NA,NA,NA,NA,2,3,1,1,8,7,4,4,10,0,5,0,6,5,5,4,8,10,NA,NA,2,2,2,4,4,4,4,4,3,5,4,1,3,3,9,98,98,4,3,2,5,7,2,3,1992,9,1,3,"4",3,5,5,1,3,1,"",NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,1,0.719122699947309,NA,3,4,2
"23",512,"12/02/2020",1,81,8,1,4,1,3,31,2,2,1,1,3,4,98,3,1,4,1,2,NA,NA,NA,NA,NA,NA,2,98,98,1,5,7,7,5,98,1,1,1,1,5,7,98,7,5,NA,NA,4,1,2,2,4,98,4,4,3,5,0,99,99,99,99,98,98,98,1,9,8,1,0,2,1956,2,1,3,"3",2,1,4,1,1,1,"04/03/2020",1,2,94,9,4,"80","","","32","","",3,8,1,1,1,1,1.15634963894953,1.15846023458436,2,3,2
"24",519,"12/02/2020",1,80,8,2,3,1,2,24,2,1,2,2,4,3,2,98,3,4,1,2,NA,NA,NA,NA,NA,NA,1,3,1,1,0,10,98,98,98,98,98,98,98,98,98,98,10,5,NA,NA,1,4,4,4,4,4,3,4,3,6,4,2,5,5,2,2,1,7,3,1,5,6,8,1,1950,2,2,5,"4",1,1,5,1,1,1,"",NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,1,1.65398249873891,NA,1,4,1
"25",525,"19/02/2020",1,81,8,2,7,1,3,8,3,1,4,2,4,3,1,2,4,1,4,1,NA,NA,NA,NA,NA,NA,3,4,2,2,10,0,0,0,5,0,0,0,0,10,0,10,0,5,NA,NA,3,98,98,98,4,98,4,98,3,6,5,98,6,5,9,9,6,1,2,1,5,1,13,3,1994,1,1,1,"2",2,1,5,1,3,1,"11/03/2020",1,1,1,5,4,"60","56","","34","","",1,2,1,3,1,1,0.735888841118538,0.682562047209443,4,4,3
"26",526,"13/02/2020",1,80,8,2,4,1,1,36,3,1,4,2,1,3,4,4,3,1,2,1,NA,NA,NA,NA,NA,NA,2,4,2,2,7,0,0,3,0,0,7,0,0,7,4,10,6,2,NA,NA,4,3,3,3,4,4,4,4,1,6,0,1,1,1,1,1,1,2,1,1,6,6,51,1,1961,10,1,2,"4",2,1,4,1,1,1,"09/03/2020",1,1,1,4,6,"64","58","61","24","20","",3,3,1,1,1,1,1.15634963894953,1.15846023458436,2,3,2
"27",609,"09/02/2020",1,80,8,1,7,1,3,61,2,1,3,2,2,3,1,2,4,4,1,2,NA,NA,NA,NA,NA,NA,2,3,2,2,5,5,0,8,8,0,0,0,0,8,0,8,5,9,NA,NA,2,4,1,1,4,4,4,3,1,6,1,9,98,5,9,9,98,3,3,4,8,5,48,6,NA,1,1,5,"4",2,1,5,1,1,1,"09/03/2020",1,1,9,4,6,"61","","","21","","",2,3,1,1,1,1,0.735888841118538,0.682562047209443,4,4,3
"28",610,"07/02/2020",1,80,8,1,3,1,1,66,5,1,4,98,1,2,2,2,1,8,1,98,NA,NA,NA,NA,NA,NA,3,4,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,NA,NA,4,3,4,4,4,4,4,2,1,5,0,99,98,99,99,99,99,99,1,4,8,99,11,6,NA,1,2,99,"4",2,1,2,2,1,1,"",NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,1,1.83984977337994,NA,1,2,1
"29",612,"07/02/2020",1,80,8,1,7,1,3,22,3,1,2,1,3,4,2,3,4,3,1,2,NA,NA,NA,NA,NA,NA,2,3,3,3,2,7,9,3,3,3,0,3,4,6,6,3,8,4,NA,NA,1,4,4,4,4,4,4,3,1,6,5,3,5,5,6,6,9,4,1,5,7,4,62,6,NA,1,1,3,"3",2,1,5,1,1,1,"09/03/2020",1,1,3,5,2,"42","","","02","","",11,3,1,1,1,1,0.735888841118538,0.682562047209443,4,4,3
"30",659,"03/02/2020",1,79,7,1,7,1,3,1,1,2,4,1,3,1,4,4,4,4,1,2,NA,NA,NA,NA,NA,NA,1,2,1,1,1,10,8,2,2,0,0,0,5,5,5,1,7,5,NA,NA,2,4,3,3,4,4,3,3,2,5,0,2,5,4,2,2,2,7,1,4,8,5,31,6,NA,1,1,3,"4",4,1,5,1,1,1,"04/03/2020",1,1,2,5,6,"51","","","11","","",2,3,1,1,1,1,0.735888841118538,0.682562047209443,4,4,3
"31",662,"09/02/2020",1,81,8,1,4,1,2,33,1,2,3,1,3,4,1,3,4,4,1,2,NA,NA,NA,NA,NA,NA,1,4,1,1,5,7,6,4,5,2,2,2,2,3,6,4,7,5,NA,NA,2,3,3,4,3,4,4,4,2,6,5,2,3,5,2,2,2,5,3,3,5,5,21,1,1950,6,1,4,"3",2,1,5,3,1,1,"04/03/2020",1,1,2,4,6,"71","72","","31","32","",2,2,1,1,1,1,1.02206925952575,1.09298421499177,2,4,2
"32",663,"18/02/2020",1,80,8,2,4,1,1,1,4,3,2,99,4,2,98,2,4,8,98,1,NA,NA,NA,NA,NA,NA,2,4,98,98,98,98,98,98,98,98,98,98,98,10,0,98,98,98,NA,NA,4,1,2,4,4,4,3,3,1,6,3,99,98,99,99,99,99,99,3,1,6,4,88,3,1991,1,1,1,"3",99,1,5,1,3,1,"",NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,1,1.02206925952575,NA,2,4,2
"33",666,"23/02/2020",1,79,7,2,7,1,2,33,2,2,1,1,4,3,1,4,4,4,1,2,NA,NA,NA,NA,NA,NA,1,2,1,1,0,7,9,0,0,0,0,0,8,6,10,0,8,4,NA,NA,3,4,4,4,4,4,4,3,3,6,2,3,5,3,3,6,9,5,3,2,7,3,34,6,NA,2,1,4,"4",3,1,5,1,1,1,"05/03/2020",1,1,99,9,6,"43","59","","07","21","11",9,3,1,1,1,1,0.735888841118538,0.682562047209443,4,4,3
"34",729,"12/02/2020",1,43,4,1,8,1,2,12,3,1,3,2,1,4,2,2,1,4,1,1,NA,NA,NA,NA,NA,NA,2,4,1,1,5,10,10,5,10,5,0,5,0,5,5,5,10,10,NA,NA,2,2,2,3,4,4,3,3,1,6,5,2,4,4,2,3,4,4,3,3,5,1,21,5,NA,2,1,4,"7",6,1,4,1,1,1,"04/03/2020",1,1,4,4,6,"41","43","","01","02","",3,2,1,1,1,1,0.832570579541014,0.723451426363539,4,3,3
"35",737,"13/02/2020",1,NA,7,1,5,1,1,1,3,1,4,2,1,4,4,3,4,1,1,1,NA,NA,NA,NA,NA,NA,3,4,2,2,7,4,1,4,3,0,0,0,0,5,5,8,3,0,NA,NA,2,1,3,3,3,3,4,4,1,6,0,97,6,5,1,1,98,4,1,4,8,6,57,1,1962,3,1,5,"6",2,1,4,1,1,1,"04/03/2020",1,1,1,2,6,"60","","","95","","",1,3,1,1,1,1,0.813601687649164,0.782618572324398,3,3,2
"36",740,"13/02/2020",1,NA,7,1,7,1,1,61,5,3,4,2,1,3,4,3,4,1,2,1,NA,NA,NA,NA,NA,NA,3,2,2,2,7,3,0,4,0,98,0,1,0,8,95,9,5,0,NA,NA,4,4,3,3,4,4,4,4,3,5,0,1,5,1,1,1,94,1,1,4,10,4,33,1,1949,2,2,2,"3",2,1,4,1,1,1,"",NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,1,0.832570579541014,NA,4,3,3
"37",809,"23/02/2020",1,NA,7,1,5,1,4,22,2,3,2,1,4,3,1,3,4,4,1,2,NA,NA,NA,NA,NA,NA,1,4,98,1,0,5,6,0,4,0,0,0,98,3,7,0,5,4,NA,NA,1,4,4,4,3,4,4,4,3,5,0,3,5,3,2,2,2,5,2,1,3,1,21,5,NA,1,2,3,"3",2,1,5,2,1,1,"",NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,2,1,0.719122699947309,NA,3,4,2
"38",814,"23/02/2020",1,NA,7,2,7,1,2,22,3,3,4,2,3,4,4,4,1,1,4,1,NA,NA,NA,NA,NA,NA,3,3,3,3,10,9,1,4,0,98,98,2,0,8,0,98,6,0,NA,NA,2,4,3,4,4,2,3,3,3,4,0,2,98,98,1,1,1,2,3,1,6,6,8,4,NA,9,2,98,"4",4,1,1,2,1,1,"",NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,1,0.866611606617809,NA,4,1,3
"39",817,"23/02/2020",1,NA,7,2,5,1,3,23,4,3,3,1,3,4,1,2,3,4,1,2,NA,NA,NA,NA,NA,NA,1,2,1,1,4,7,5,4,3,0,0,0,4,3,6,0,6,4,NA,NA,2,3,4,4,4,4,3,3,3,6,5,2,3,3,2,2,4,4,3,1,5,1,8,6,NA,1,1,99,"4.5",1,1,5,3,1,1,"04/03/2020",1,1,2,3,6,"69","56","","22","","",2,2,1,1,1,1,0.719122699947309,0.738385073888072,3,4,2
"40",877,"06/02/2020",1,76,7,1,5,1,2,31,3,2,2,1,3,4,2,3,3,1,1,2,NA,NA,NA,NA,NA,NA,1,1,1,1,5,10,9,7,8,3,0,1,6,4,9,7,10,8,NA,NA,1,4,2,4,4,4,4,1,1,6,5,2,4,4,2,2,4,7,1,4,9,6,80,6,NA,10,1,3,"4",2,1,5,1,1,1,"05/03/2020",1,1,2,5,2,"77","","","37","","",2,3,1,1,1,1,0.719122699947309,0.738385073888072,3,4,2
"41",913,"17/02/2020",1,75,7,2,8,1,3,33,2,2,2,1,4,1,2,3,3,4,2,2,NA,NA,NA,NA,NA,NA,1,4,1,98,0,7,7,0,5,0,0,0,0,3,6,3,6,5,NA,NA,4,1,1,4,4,2,3,1,2,6,0,99,98,3,2,3,98,98,99,9,99,99,9,6,NA,9,99,99,"סירוב",99,1,5,2,1,1,"",NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,1,0.735888841118538,NA,4,4,3
"42",965,"19/02/2020",1,75,7,2,8,1,99,33,3,2,1,1,3,4,1,3,4,4,1,2,NA,NA,NA,NA,NA,NA,1,3,4,4,0,2,4,0,0,1,0,1,8,98,98,0,98,0,NA,NA,4,4,3,4,2,3,4,1,1,6,0,11,8,3,11,11,11,7,1,4,7,2,21,6,NA,1,2,2,"3.5",1,1,5,1,1,1,"05/03/2020",1,1,11,9,9,"61","79","46","22","21","05",5,1,1,1,1,1,0.735888841118538,0.682562047209443,4,4,3
"43",973,"23/02/2020",1,74,7,1,4,1,2,5,7,1,3,98,3,4,4,4,1,4,2,2,NA,NA,NA,NA,NA,NA,2,4,1,1,2,8,9,3,5,0,0,0,0,5,5,4,8,5,NA,NA,3,4,3,4,4,4,4,4,2,5,3,2,3,3,3,3,4,4,1,4,7,4,46,1,1955,2,1,2,"3",2,1,4,2,1,1,"",NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,1,1.15634963894953,NA,2,3,2
