"","ID","date","date_telephone","agree_1","citizen‎","age","age_group","sex","educ","v144","v6","v8_code1","v8_code2","v8_code3","v601","v9","v10","v11","v12","v700","v14","v15a","v15b","v15c","v19","v701","v20","v702","v21","v36","v703","v704","v27","v28","v29","v30","v25","v22","v33","v35","v86","v89","v45","v46","v47","v48","v49a","v49z","v49b","v49s","v49i","v49k","v49h","v49f","v49c","v49j","v49y","v49t","v52a","v52b","v52c","v50","v51","v622a","v622b","v623","v53","v58","v59","v60","v61","v62","v63","v64","v65","v66","v68","v69","v104","v104a","v504","v609","v705","v106","v107","v706","v111","v601b","v506","v73","v510","v511","v109","v110","v115","v116","v707a","v707b","v707c","v119","v120","v619","v121","v122","v123","v708","v125","v126","v127","v128","v620a","v620z","v620s","v620b","v620i","v620k","v620h","v620c","v620f","v620j","v620y","v620","v712","v130","v131","v513","v134","v137","v138_code","v139","v140","v141","v143_code","sector","data_collection","Version‎","language‎","date_after","agree_2","F1","F2","F3","F5","F7","N1","F9","F110","F10","N11","N50","N51","N622a","N622b","N623","w_panel1","w_panel2","w_jews_panel1","w_jews_panel2","w_arabs_panel1","w_arabs_panel2"
"1",266020,2022-10-18,"",1,1,NA,3,2,5,5,3,18,NA,NA,2,4,4,3,4,3,1,3,1,4,4,2,3,1,3,4,4,3,NA,NA,NA,NA,1,2,2,4,4,4,2,2,4,1,10,98,98,98,10,98,98,0,0,0,0,NA,5,5,5,10,5,5,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,3,NA,NA,5,NA,NA,30,1,2,2,3,2,1,4,3,2,2,1,2,4,2,2,3,2,3,98,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,4,"",2,"52",3,9,3,1,1,1,1,1,"09/11/2022",1,1,4,2,1,1,1,1,3,2,4,10,1,5,NA,0,1.084144115448,1.09629964828491,1.11695730686188,1.17232000827789,NA,NA
"2",266021,2022-10-18,"",1,1,28,2,1,4,2,4,100,NA,NA,1,3,3,3,4,4,2,4,3,1,3,1,2,1,3,2,4,2,NA,NA,NA,NA,3,2,3,3,3,3,2,1,3,1,10,0,0,0,9,3,0,0,0,0,0,NA,10,0,5,6,7,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,5,NA,NA,1,1,1,1,1,3,4,4,3,4,4,2,1,3,3,2,3,1,3,3,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,4,"",2,"12",2,5,2,1,1,1,1,1,"09/11/2022",1,1,17,1,5,4,1,1,3,2,4,10,0,5,NA,0,1.02095699310303,1.07152736186981,1.05185770988464,1.14582991600037,NA,NA
"3",266022,2022-10-18,"",1,1,23,2,1,5,2,1,18,NA,NA,2,4,2,4,3,3,3,1,2,4,4,11,1,3,3,2,2,1,NA,NA,NA,NA,1,1,2,2,3,2,2,4,5,1,3,1,2,6,0,1,5,1,1,0,1,NA,5,2,2,10,7,6,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,4,NA,NA,7,1,5,3,1,1,4,3,2,10,4,2,1,4,2,2,1,3,3,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,4,1,6,"",2,"Y2",2,12,7,1,1,1,1,1,"21/11/2022",1,1,10,1,2,7,1,1,3,4,98,10,10,7,NA,5,1.05897581577301,1.08161592483521,1.09102725982666,1.15661799907684,NA,NA
"4",266025,2022-10-18,"",1,1,62,6,1,3,1,2,15,NA,NA,2,5,3,4,3,3,3,1,4,3,3,2,3,1,1,1,2,2,NA,NA,NA,NA,1,1,3,2,3,2,3,4,1,1,8,2,5,8,10,10,0,0,0,0,1,NA,8,6,1,5,2,NA,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,4,NA,NA,11,3,3,1,1,2,4,1,3,8,3,4,2,1,2,2,3,2,3,2,98,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,1,6,"",2,"33",2,9,2,1,1,1,1,1,"09/11/2022",1,1,6,6,1,5,2,1,3,3,3,8,5,NA,5,2,1.53117847442627,1.34499788284302,1.57752180099487,1.43826353549957,NA,NA
"5",266026,2022-10-18,"",1,1,NA,4,2,4,4,4,65,NA,NA,2,5,3,2,4,4,2,2,3,1,4,1,4,1,3,3,3,1,NA,NA,NA,NA,3,1,4,3,1,3,3,4,1,1,10,6,6,10,6,6,0,0,10,0,0,NA,10,10,6,10,0,5,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5,NA,NA,1,1,3,5,1,2,5,2,2,9,8,2,1,4,4,4,4,4,3,3,2,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,2,5,"",1,"24",3,7,4,1,1,1,1,1,"10/11/2022",1,1,1,6,5,3,1,1,1,4,4,10,0,7,NA,0,1.23809659481049,1.23079001903534,1.27556931972504,1.31613624095917,NA,NA
"6",266027,2022-10-18,"",1,1,NA,5,2,4,3,5,32,23,NA,1,5,4,4,3,3,2,1,3,4,2,1,3,1,1,3,2,3,NA,NA,NA,NA,2,2,1,2,4,4,2,1,1,1,8,2,6,8,3,3,1,2,1,0,0,NA,7,8,2,10,3,5,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,8,1,4,3,1,1,4,2,3,7,3,2,1,4,3,2,2,3,3,4,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,5,"",1,"23",5,12,10,1,1,1,1,1,"09/11/2022",1,1,1,6,1,5,4,1,3,3,3,10,5,4,NA,5,1.59732496738434,1.44929575920105,1.64567029476166,1.54979372024536,NA,NA
"7",266028,2022-10-18,"",1,1,44,4,2,9,5,3,35,NA,NA,2,4,4,4,4,4,2,3,4,1,3,10,3,1,4,4,2,3,NA,NA,NA,NA,1,2,2,3,4,2,2,3,5,5,0,7,5,0,0,0,3,1,4,0,0,NA,0,5,5,4,5,0,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,98,4,4,1,2,2,4,3,3,5,4,4,1,2,3,2,3,3,3,1,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,7,"",1,"32",4,7,4,1,1,1,1,1,"10/11/2022",1,1,2,3,1,7,3,3,3,2,2,5,5,0,NA,3,0.628331243991852,0.628050804138184,0.647348582744598,0.671601474285126,NA,NA
"8",266029,2022-10-18,"",1,1,NA,5,2,6,5,4,32,NA,NA,9,4,3,5,3,4,2,4,1,2,2,1,3,2,3,3,98,2,NA,NA,NA,NA,1,1,2,2,2,98,1,3,1,1,5,2,6,8,3,3,0,2,2,2,2,NA,6,7,2,7,6,5,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,3,NA,NA,3,NA,NA,7,4,4,3,3,1,5,2,3,2,2,2,1,3,4,1,2,2,2,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,5,"",1,"33",3,9,3,1,1,1,1,1,"09/11/2022",1,1,1,1,1,3,4,43,2,3,3,8,7,7,NA,8,0.666192710399628,0.612689137458801,0.686356008052826,0.655174612998962,NA,NA
"9",266030,2022-10-18,"",1,1,NA,5,1,5,3,3,4,NA,NA,2,4,4,3,4,4,2,2,1,4,4,3,98,1,2,2,2,1,NA,NA,NA,NA,2,1,3,2,3,2,3,3,1,1,8,0,1,7,10,7,1,0,3,0,0,NA,9,5,3,9,1,8,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,10,2,3,3,2,2,1,2,2,8,5,2,1,3,2,3,4,4,2,1,98,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,5,"",2,"71",1,10,6,1,1,1,1,1,"09/11/2022",1,1,5,6,2,5,1,1,2,2,3,9,1,9,NA,0,1.86695826053619,1.68452143669128,1.92346441745758,1.80133056640625,NA,NA
"10",266031,2022-10-23,"",1,1,49,4,2,4,1,3,1,NA,NA,2,4,4,4,4,4,2,4,1,2,4,3,4,2,2,1,2,1,NA,NA,NA,NA,2,1,3,1,3,2,3,2,1,1,5,3,3,5,7,7,1,1,3,0,0,NA,4,4,3,5,3,NA,6,6,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,4,NA,NA,98,NA,NA,99,98,2,0,1,2,4,3,4,5,1,2,4,3,3,2,2,3,2,1,98,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,4,"",2,"41",4,8,5,1,1,1,1,1,"09/11/2022",1,1,6,6,1,5,1,1,4,2,3,5,5,NA,5,2,0.855776131153107,0.766846776008606,0.881677389144897,0.82002192735672,NA,NA
