"","c6","c7","c8","c10","c11","c13","c14","c15","c16","c17","c18","c19","c20","c21","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c34","c35","c36","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","cc6","cc7","cc8","cc9","cc10","cc11","cc12","cc13","cc14","cc15","cc16","cc17","cc19","cc20","cc21","cc22","cc23","cc24","cc25","cc27","cc28","cc29","cc30","cc31","cc32","cc33","cc34","cc35","cc36","cc37","cc38","cc39","cc40","cc41","cc44","cc45","cc46","cc48","cc49","cc50","cc51","cc52","cc53","cc54","cc55","cc56","cc57","cc58","cc59","cc60","cc61","cc62","cc63","cc64","cc65","cc66","cc67","cc68","cc69","cc70","cc71","cc72","cc73","cc74","cc76","ccc6","ccc7","ccc8","ccc9","ccc10","ccc11","ccc12","ccc14","ccc15","ccc16","ccc17","ccc19","ccc20","ccc21","ccc22","ccc23","ccc27","ccc28","ccc29","ccc30","ccc31","ccc32","ccc33","ccc35","ccc36","ccc37","ccc39","ccc41","ccc42","ccc44","ccc45","ccc46","ccc47","ccc48","ccc49","ccc50","ccc55","ccc56","ccc57","ccc59","ccc61","ccc63","ccc65","ccc67","ccc69","ccc70","ccc71","ccc72","ccc73","ccc74","cccc6","cccc8","cccc10","cccc12","cccc14","cccc16","cccc18","cccc20","cccc22","cccc24","cccc26","cccc28","cccc41","sephashk"
"1",3,3,1,2,2,6,4,8,2,3,6,4,4,50,1,2,1,3,2,2,3,2,2,2,2,2,50,NA,3,4,1,2,1,4,4,1,1,1,3,4,2,4,4,8,1,NA,4,3,1,1,1,8,1,6,5,1,4,2,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,5,5,2,2,3,2,1,1,1,1,1,1,1,1,2,1,1,1,9,5,9,1,1,1,1,1,1,1,1,1,1,4,2,3,4,4,3,4,NA,NA,NA,4,1,1,1,1,1,3,2,5,2,NA,NA,NA,NA,2,2,1,2,1,6,1,4,2,2,1,2,3,4,1,2,38,4,73,11,3,4,3,3,1,1,3,3,2,3,9,NA,1,3,9,18,NA,NA,NA,17,1,2
"2",3,2,1,2,20,5,5,8,2,2,2,6,4,80,1,2,1,2,3,3,3,2,2,2,2,3,1,2,NA,4,2,1,2,7,7,2,1,1,4,3,2,3,2,5,5,NA,1,8,1,1,1,8,7,7,4,3,1,3,2,3,2,2,1,1,1,1,3,3,1,1,1,1,4,4,2,1,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,8,9,NA,2,2,2,2,2,2,2,2,2,1,3,3,2,2,1,3,4,2,1,2,2,1,1,1,4,1,1,19,5,5,NA,NA,NA,NA,19,1,2,1,2,1,NA,2,1,4,2,1,4,3,3,2,43,7,NA,8,5,6,3,3,1,2,3,2,1,4,NA,NA,1,4,NA,18,NA,NA,26,17,1,1
"3",2,3,3,2,1,5,2,5,2,2,5,2,2,80,NA,3,1,2,2,2,2,1,2,NA,3,3,70,NA,3,2,NA,2,NA,4,NA,3,NA,3,1,4,2,4,3,4,6,5,4,3,3,2,2,7,7,6,4,NA,3,1,3,3,2,2,3,3,2,2,4,4,3,3,2,2,4,4,2,2,2,2,3,3,2,1,2,1,2,2,3,2,2,2,1,3,1,2,3,4,2,1,3,2,4,2,2,3,2,2,2,3,3,2,1,2,5,5,NA,3,3,2,3,2,1,3,3,3,1,5,2,3,3,3,1,2,1,40,NA,3,1,1,1,2,1,1,19,1,5,NA,NA,NA,NA,19,3,3,3,3,5,1,1,1,3,NA,NA,NA,NA,1,1,42,10,NA,15,4,5,1,3,1,2,3,3,19,NA,NA,NA,19,NA,NA,NA,NA,NA,26,17,1,2
"4",2,2,2,2,2,6,4,7,3,3,4,1,3,75,2,3,1,2,2,2,3,2,3,3,3,2,50,1,3,2,2,2,1,1,1,1,2,1,2,3,4,4,4,7,7,5,5,6,4,1,4,8,6,7,4,2,4,3,4,3,2,2,4,4,1,1,4,4,4,1,1,4,4,4,2,2,2,2,1,2,2,2,1,3,2,1,3,1,1,2,1,1,1,1,5,5,2,2,1,2,4,2,2,2,2,2,2,2,4,1,3,2,6,4,8,2,2,2,2,2,1,2,2,2,2,5,3,2,4,1,3,4,1,1,2,4,1,1,2,2,2,1,1,1,1,NA,NA,NA,NA,1,1,2,15,2,6,1,3,1,3,1,2,3,4,2,1,36,7,NA,12,5,3,1,2,1,1,3,3,19,NA,NA,NA,19,NA,NA,NA,NA,NA,26,17,1,1
"5",2,2,29,2,3,7,3,8,2,4,7,1,6,40,1,1,1,2,1,2,1,2,3,2,2,1,40,1,4,1,1,2,1,1,1,2,1,3,1,4,2,7,3,8,3,1,8,4,4,4,4,8,1,9,6,3,4,1,1,4,1,1,4,2,1,1,4,4,3,2,1,1,4,4,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,3,1,1,2,1,5,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,7,5,8,1,1,1,1,1,1,1,1,1,2,4,2,3,1,4,3,4,NA,1,1,4,2,2,1,1,1,1,2,5,2,NA,NA,NA,NA,2,2,1,2,16,6,3,2,1,2,1,2,4,3,1,2,25,6,NA,15,5,2,2,4,1,4,1,4,2,3,NA,NA,1,3,18,18,18,18,26,17,1,NA
"6",5,4,1,1,6,1,4,5,2,3,7,7,7,97,1,2,1,3,4,4,4,1,1,4,4,4,50,NA,2,4,2,1,1,4,1,1,2,2,1,3,4,4,2,4,6,7,1,3,1,1,1,4,5,4,4,3,1,1,4,2,2,4,1,2,1,1,3,4,NA,NA,NA,NA,NA,NA,2,1,2,2,1,2,NA,2,3,1,2,3,1,3,3,1,2,1,1,1,3,3,2,3,1,3,1,2,2,2,1,1,2,2,3,1,1,3,2,9,6,1,1,1,1,2,1,1,1,1,1,4,2,2,2,1,4,4,2,1,2,2,1,1,1,4,2,1,1,1,1,NA,NA,NA,NA,1,1,2,17,17,5,1,2,1,4,2,1,3,4,2,1,30,7,NA,11,3,3,1,2,2,NA,3,5,1,6,NA,NA,1,6,18,18,18,18,26,17,1,1
"7",3,4,1,1,6,2,7,NA,NA,4,1,7,7,25,2,2,3,4,4,4,4,1,1,2,3,4,40,1,2,4,2,3,NA,6,6,1,2,2,4,1,3,3,2,1,5,7,1,7,1,1,1,3,7,1,1,2,1,2,1,2,1,1,1,1,1,1,4,4,1,1,1,1,4,4,2,2,2,2,2,2,3,2,1,NA,1,NA,1,1,3,1,2,1,1,2,3,4,2,3,1,2,1,2,2,2,2,2,2,2,NA,2,2,4,8,8,9,2,2,2,2,2,1,4,2,2,2,1,4,3,2,3,6,4,2,1,2,4,1,1,2,4,NA,1,6,5,1,NA,NA,NA,NA,6,1,2,13,17,6,1,2,1,5,2,4,NA,NA,1,1,30,5,NA,14,3,4,3,1,2,NA,3,3,1,6,NA,NA,6,4,1,18,18,18,26,17,1,2
"8",5,3,1,1,1,1,8,NA,3,2,1,5,6,50,1,2,1,4,4,4,4,2,1,3,4,3,40,2,4,4,2,1,1,7,7,1,2,1,2,3,4,4,1,1,10,1,1,9,1,1,1,1,10,1,2,1,1,2,2,2,3,2,2,1,1,2,1,2,3,2,2,2,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,5,5,1,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,8,9,9,2,2,2,2,2,2,2,2,2,1,3,4,4,4,1,3,4,1,1,1,4,1,1,1,4,1,1,4,1,1,NA,NA,NA,NA,4,1,2,16,17,6,1,3,1,4,2,1,4,3,2,2,23,7,NA,12,3,2,3,2,1,3,3,5,1,4,NA,NA,3,1,18,18,18,18,26,17,1,1
"9",5,3,1,1,1,6,6,9,1,3,7,1,4,70,1,2,1,4,4,4,4,1,1,2,4,3,1,2,4,4,1,1,1,4,4,1,2,1,2,3,4,4,4,4,8,4,1,5,1,1,1,8,8,3,3,2,4,2,1,2,1,1,1,2,1,1,4,4,2,1,2,3,4,4,2,2,2,2,3,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,3,9,NA,3,2,2,3,2,2,2,2,2,1,5,4,4,4,4,3,4,2,1,2,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,2,1,1,3,3,4,1,5,2,1,3,4,2,1,43,7,NA,18,3,6,2,3,2,NA,4,5,1,6,8,NA,1,6,8,18,NA,NA,26,17,1,1
"10",5,4,7,1,1,1,5,8,2,1,1,1,7,70,NA,3,1,2,4,4,4,1,1,3,4,4,1,2,4,4,2,1,1,7,7,1,2,1,2,3,4,4,4,1,10,10,1,10,1,1,1,5,10,1,2,1,1,2,1,1,1,1,1,3,1,1,3,4,1,1,1,1,2,3,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3,1,2,2,2,2,2,2,2,2,2,2,2,2,6,NA,2,2,2,2,2,2,2,2,2,1,3,3,3,NA,NA,3,4,2,1,2,5,1,1,1,4,1,2,1,1,1,NA,NA,NA,NA,1,1,2,4,8,6,4,1,1,5,2,1,3,4,2,1,44,7,NA,12,3,5,1,2,1,1,4,5,1,4,6,8,1,6,4,18,NA,NA,26,17,1,1
