"","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20","i21","i22","i23","i24","i25","i26","i27","i28","i29","i30","i31","i32","i33","i34","i35","i36","i37","i38","i39","i40","i41","i42","i43","i44","i45","i46","i47","i48","i49","i50","i51","i52","i53","i54","i55","i56","i57","i58","i59","i60","i61","i62","i63","i64","i65","i66","i67","i68","i69","i70","i71","i72","i73","i74","i75","i76","i77","i78","i79","i80","i81","i82","i83","i84","i85","i86","i87","i88","i89","i90","i91","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42"
"1",1,1,5,4,3,2,1,5,2,4,2,5,6,1,1,2,2,2,2,40,1,2,3,1,2,1,2,1,1,NA,2,4,2,2,3,3,4,1,2,5,8,3,2,2,1,5,1,6,5,2,8,3,8,2,1,1,1,1,1,1,2,1,4,4,4,4,4,1,2,8,6,2,1,3,8,8,4,1,2,2,3,2,3,1,1,2,2,2,2,1,1,2,2,1,2,6,4,3,3,1,4,2,4,4,4,4,2,1,2,4,3,3,3,4,3,1,2,1,1,2,1,3,2,2,2,3,1,1,2,5,5,1,1,2,NA,3,1,3,1,3,1,1,3,3,1,3,4,NA,2,1,3,1,3,1,2,1,5,NA,2,1,2,1,2,1,2,1,3,1,3,5,3,3,3,3,4,1,3,3,1,2,1,1,2,1,1,2,44,3,1,2,4,3,6,NA,18,1,2,1,2,1,4,4,2,2,1,1,3,4,9
"2",2,1,3,3,30,2,1,4,3,2,2,6,7,2,1,2,2,3,2,45,1,4,2,1,3,1,3,3,2,3,3,4,3,3,2,3,4,2,1,5,8,5,4,7,3,6,6,7,5,2,6,4,6,2,6,3,4,1,3,1,2,3,3,4,4,4,4,4,3,8,7,3,6,7,7,7,7,7,2,4,NA,2,3,1,1,2,2,2,2,2,1,1,2,2,1,6,NA,3,2,3,3,4,4,4,4,3,4,3,2,2,4,3,2,3,1,2,1,1,3,2,1,1,3,1,2,1,1,1,1,3,5,2,1,2,3,3,3,1,3,3,4,1,3,1,1,1,2,3,2,1,2,1,3,NA,2,1,2,1,2,3,2,3,2,1,2,NA,2,1,3,5,3,3,2,3,4,4,2,2,1,2,2,2,2,1,2,1,24,3,1,2,4,3,3,NA,12,NA,3,1,2,1,4,2,1,3,1,2,2,4,16
"3",3,1,2,3,9,2,5,3,3,2,3,5,1,1,7,2,2,2,2,70,1,3,3,2,3,1,2,2,3,2,1,1,1,2,2,1,2,4,3,3,4,3,6,6,2,1,1,2,1,5,5,5,3,1,1,2,2,1,2,1,2,4,4,4,2,4,3,1,5,5,2,2,1,3,7,2,2,1,2,2,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2,3,NA,2,2,3,4,4,3,2,4,3,2,1,2,3,3,2,1,3,4,3,2,1,2,2,1,3,3,1,3,2,1,1,1,3,3,1,2,1,3,3,2,3,2,NA,2,1,3,1,1,1,5,NA,1,3,2,3,4,3,5,NA,1,3,2,3,2,3,1,3,2,3,2,3,3,4,2,3,3,3,3,1,1,4,2,1,5,1,1,3,2,3,23,3,1,2,4,3,8,NA,12,2,4,1,2,1,3,2,2,3,1,2,3,4,13
"4",4,1,2,3,98,2,1,3,3,3,1,4,1,1,7,2,3,2,3,50,2,3,2,2,1,1,2,1,1,1,1,1,3,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,2,4,2,4,1,3,3,1,5,5,1,1,1,5,5,1,1,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,6,4,4,4,1,3,1,3,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,3,2,3,1,1,3,5,5,1,4,4,4,4,3,3,4,4,1,3,3,3,4,4,5,NA,5,NA,5,NA,5,NA,5,NA,2,NA,5,NA,NA,NA,2,NA,5,NA,5,NA,3,6,4,4,4,5,4,6,2,2,1,2,2,1,4,12,1,7,35,3,1,2,NA,NA,5,73,13,1,3,1,3,3,3,2,1,3,1,2,3,4,13
"5",5,1,2,2,9,1,2,2,2,3,3,4,6,4,7,3,2,2,3,41,1,3,2,1,3,1,2,2,3,2,4,4,2,2,2,3,4,1,2,3,5,6,7,5,5,6,5,6,5,8,9,5,5,4,5,2,3,1,1,1,2,2,4,4,2,3,2,3,7,6,5,6,5,9,8,7,7,5,2,1,3,1,2,2,2,1,1,2,2,1,1,2,2,1,1,4,3,NA,2,3,4,3,4,2,3,2,3,1,2,2,3,2,3,2,2,1,NA,1,1,2,1,3,3,2,3,1,1,1,4,5,5,1,2,2,3,2,2,3,3,3,2,1,3,3,2,2,1,3,1,2,1,3,1,2,1,3,1,3,1,3,1,2,1,3,1,2,1,2,3,6,3,2,4,4,4,2,1,NA,2,1,1,1,1,2,4,4,50,3,1,2,4,3,3,57,17,1,4,1,3,1,6,6,1,2,1,2,3,4,25
"6",6,1,2,2,3,1,2,2,1,3,NA,3,6,2,4,3,2,2,3,50,2,3,3,1,2,1,2,2,4,3,4,4,3,2,3,1,2,3,4,2,3,2,9,2,9,6,2,8,2,9,8,7,8,8,3,2,3,4,2,1,NA,3,3,3,3,3,4,4,9,9,8,2,2,5,5,5,5,5,2,4,2,4,2,2,2,2,2,2,1,2,2,1,2,2,2,2,4,2,2,2,3,2,2,3,3,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,1,3,3,1,1,2,2,2,2,3,3,2,1,1,1,2,2,3,3,3,3,3,3,2,1,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,1,3,1,3,3,4,3,2,2,3,2,2,1,2,2,1,1,1,3,2,1,4,26,2,1,2,3,4,3,95,10,2,5,1,2,1,3,3,3,3,1,1,12,4,4
"7",7,1,3,3,8,7,10,4,3,3,3,5,5,4,6,2,1,NA,3,50,2,3,3,1,2,NA,1,2,4,3,4,4,4,2,2,1,4,2,3,4,8,4,8,4,8,7,1,9,2,8,8,7,3,8,1,4,2,5,1,1,2,4,4,4,3,3,4,4,8,8,7,2,2,8,8,8,3,3,2,2,4,2,3,1,2,2,2,2,2,2,1,2,2,2,2,4,4,4,2,4,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,2,2,1,3,3,1,1,2,1,3,3,1,1,3,2,3,2,3,3,2,3,2,3,3,2,2,2,4,3,4,4,1,2,1,3,2,3,5,NA,2,1,2,1,2,1,2,1,2,3,2,3,5,NA,3,5,4,3,3,5,4,3,1,1,7,3,2,1,2,1,1,1,24,2,2,1,4,3,9,NA,12,2,5,2,NA,5,4,3,2,3,2,2,12,4,4
"8",8,1,4,3,9,1,7,1,2,3,3,4,2,2,4,2,2,2,2,50,2,4,3,1,3,1,3,2,4,3,4,4,3,2,2,1,3,4,2,3,3,1,9,3,8,7,1,3,2,9,8,5,2,8,2,3,3,2,1,1,2,3,2,3,3,2,2,3,9,9,9,2,2,8,8,7,4,3,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,4,3,3,3,4,4,3,3,4,4,4,2,4,4,4,4,5,5,5,2,2,1,3,2,1,1,2,1,3,2,1,1,3,2,3,2,4,4,2,1,2,1,1,2,3,3,4,3,4,4,2,3,1,2,1,3,5,NA,1,2,1,2,2,1,1,2,1,2,4,3,4,3,3,4,3,1,2,5,3,2,1,2,2,1,1,2,4,12,1,5,20,3,2,1,3,4,5,84,12,2,3,2,NA,5,4,5,2,2,2,1,12,4,4
"9",9,1,3,4,37,3,7,3,3,3,3,3,3,1,4,2,2,NA,3,40,2,2,3,1,3,1,2,2,4,2,4,4,4,3,NA,1,4,3,2,5,2,4,3,2,3,4,1,2,1,3,7,2,3,3,1,1,2,1,2,2,3,4,4,4,4,4,4,4,9,9,10,1,1,8,8,9,1,1,2,2,4,2,4,1,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,4,4,4,3,4,4,4,2,3,3,3,3,3,3,3,2,2,1,3,2,1,1,2,1,3,2,1,1,2,2,3,2,2,2,4,2,1,1,1,1,1,2,4,3,4,4,3,2,2,3,2,3,5,NA,2,1,5,NA,2,3,2,3,3,2,3,2,5,NA,3,5,3,3,3,4,3,7,1,4,7,3,4,3,4,12,1,3,47,3,2,1,3,4,9,NA,15,2,5,2,NA,5,4,3,2,3,1,2,12,4,4
"10",10,1,5,4,3,2,12,5,4,3,3,6,1,1,4,4,2,2,4,50,2,2,3,1,3,1,2,3,3,3,3,3,3,2,3,1,2,4,3,5,4,1,9,2,10,3,1,6,1,10,8,9,1,10,2,3,2,1,1,1,2,4,4,3,4,3,3,4,9,9,9,2,2,8,8,8,3,4,2,4,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,4,4,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,2,2,1,3,1,1,1,2,1,1,2,1,1,2,2,3,3,4,4,1,2,2,2,2,2,2,2,4,3,3,3,1,2,1,2,1,2,5,NA,1,2,1,2,1,2,1,2,1,2,1,2,5,NA,3,2,4,3,3,5,3,2,1,4,12,2,2,1,1,8,2,4,24,2,1,2,4,3,4,NA,12,2,5,2,NA,4,5,5,2,2,4,2,12,4,4
